BlueGreen[][0]	BlueGreen[][1]	BlueGreen[][2]
65025	65025	65025
62500	62500	65025
60516	60516	65025
58564	58564	65025
56644	56644	65025
54756	54756	65025
52900	52900	65025
51076	51076	65025
49284	49284	65025
47524	47524	65025
45796	45796	65025
44100	44100	65025
42436	42436	65025
40804	40804	65025
39204	39204	65025
37636	37636	65025
36100	36100	65025
34596	34596	65025
33124	33124	65025
31684	31684	65025
30276	30276	65025
28900	28900	65025
27225	27225	65025
25921	25921	65025
24649	24649	65025
23409	23409	65025
22201	22201	65025
21025	21025	65025
19881	19881	65025
18769	18769	65025
17689	17689	65025
16641	16641	65025
15625	15625	65025
14641	14641	65025
13689	13689	65025
12769	12769	65025
11881	11881	65025
11025	11025	65025
10201	10201	65025
9409	9409	65025
8649	8649	65025
7921	7921	65025
7225	7225	65025
6400	6400	65025
5776	5776	65025
5184	5184	65025
4624	4624	65025
4096	4096	65025
3600	3600	65025
3136	3136	65025
2704	2704	65025
2304	2304	65025
1936	1936	65025
1600	1600	65025
1296	1296	65025
1024	1024	65025
784	784	65025
576	576	65025
400	400	65025
256	256	65025
144	144	65025
64	64	65025
16	16	65025
0	0	65025
0	0	65025
0	0	62500
0	0	60516
0	0	58564
0	0	56644
0	0	54756
0	0	52900
0	0	51076
0	0	49284
0	0	47524
0	0	45796
0	0	44100
0	0	42436
0	0	40804
0	0	39204
0	0	37636
0	0	36100
0	0	34596
0	0	33124
0	0	31684
0	0	30276
0	0	28900
0	0	27225
0	0	25921
0	0	24649
0	0	23409
0	0	22201
0	0	21025
0	0	19881
0	0	18769
0	0	17689
0	0	16641
0	0	15625
0	0	14641
0	0	13689
0	0	12769
0	0	11881
0	0	11025
0	0	10201
0	0	9409
0	0	8649
0	0	7921
0	0	7225
0	0	6400
0	0	5776
0	0	5184
0	0	4624
0	0	4096
0	0	3600
0	0	3136
0	0	2704
0	0	2304
0	0	1936
0	0	1600
0	0	1296
0	0	1024
0	0	784
0	0	576
0	0	400
0	0	256
0	0	144
0	0	64
0	0	16
0	0	0
0	0	0
0	9	0
0	49	0
0	121	0
0	225	0
0	361	0
0	529	0
0	729	0
0	961	0
0	1225	0
0	1521	0
0	1849	0
0	2209	0
0	2601	0
0	3025	0
0	3481	0
0	3969	0
0	4489	0
0	5041	0
0	5625	0
0	6241	0
0	6889	0
0	7569	0
0	8281	0
0	9025	0
0	9801	0
0	10609	0
0	11449	0
0	12321	0
0	13225	0
0	14161	0
0	15129	0
0	16129	0
0	17161	0
0	18225	0
0	19321	0
0	20449	0
0	21609	0
0	22801	0
0	24025	0
0	25281	0
0	26569	0
0	27889	0
0	29241	0
0	30625	0
0	32041	0
0	33489	0
0	34969	0
0	36481	0
0	38025	0
0	39601	0
0	41209	0
0	42849	0
0	44521	0
0	46225	0
0	47961	0
0	49729	0
0	51529	0
0	53361	0
0	55225	0
0	57121	0
0	59049	0
0	61009	0
0	63001	0
0	65025	0
16	65025	16
64	65025	64
144	65025	144
256	65025	256
400	65025	400
576	65025	576
784	65025	784
1024	65025	1024
1296	65025	1296
1600	65025	1600
1936	65025	1936
2304	65025	2304
2704	65025	2704
3136	65025	3136
3600	65025	3600
4096	65025	4096
4624	65025	4624
5184	65025	5184
5776	65025	5776
6400	65025	6400
7225	65025	7225
7921	65025	7921
8649	65025	8649
9409	65025	9409
10201	65025	10201
11025	65025	11025
11881	65025	11881
12769	65025	12769
13689	65025	13689
14641	65025	14641
15625	65025	15625
16641	65025	16641
17689	65025	17689
18769	65025	18769
19881	65025	19881
21025	65025	21025
22201	65025	22201
23409	65025	23409
24649	65025	24649
25921	65025	25921
27225	65025	27225
28900	65025	28900
30276	65025	30276
31684	65025	31684
33124	65025	33124
34596	65025	34596
36100	65025	36100
37636	65025	37636
39204	65025	39204
40804	65025	40804
42436	65025	42436
44100	65025	44100
45796	65025	45796
47524	65025	47524
49284	65025	49284
51076	65025	51076
52900	65025	52900
54756	65025	54756
56644	65025	56644
58564	65025	58564
60516	65025	60516
62500	65025	62500
64516	65025	64516
