BlueRed[][0]	BlueRed[][1]	BlueRed[][2]
65025	65025	65025
65025	63001	63001
65025	61009	61009
65025	59049	59049
65025	57121	57121
65025	55225	55225
65025	53361	53361
65025	51529	51529
65025	49729	49729
65025	47961	47961
65025	46225	46225
65025	44521	44521
65025	42849	42849
65025	41209	41209
65025	39601	39601
65025	38025	38025
65025	36481	36481
65025	34969	34969
65025	33489	33489
65025	32041	32041
65025	30625	30625
65025	29241	29241
65025	27889	27889
65025	26569	26569
65025	25281	25281
65025	24025	24025
65025	22801	22801
65025	21609	21609
65025	20449	20449
65025	19321	19321
65025	18225	18225
65025	17161	17161
65025	16129	16384
65025	15129	15376
65025	14161	14400
65025	13225	13456
65025	12321	12544
65025	11449	11664
65025	10609	10816
65025	9801	10000
65025	9025	9216
65025	8281	8464
65025	7569	7744
65025	6889	7056
65025	6241	6400
65025	5625	5776
65025	5041	5184
65025	4489	4624
65025	3969	4096
65025	3481	3600
65025	3025	3136
65025	2601	2704
65025	2209	2304
65025	1849	1936
65025	1521	1600
65025	1225	1296
65025	961	1024
65025	729	784
65025	529	576
65025	361	400
65025	225	256
65025	121	144
65025	49	64
65025	9	16
65025	0	0
63001	0	0
61009	0	0
59049	0	0
57121	0	0
55225	0	0
53361	0	0
51529	0	0
49729	0	0
47961	0	0
46225	0	0
44521	0	0
42849	0	0
41209	0	0
39601	0	0
38025	0	0
36481	0	0
34969	0	0
33489	0	0
32041	0	0
30625	0	0
29241	0	0
27889	0	0
26569	0	0
25281	0	0
24025	0	0
22801	0	0
21609	0	0
20449	0	0
19321	0	0
18225	0	0
17161	0	0
16129	0	0
15129	0	0
14161	0	0
13225	0	0
12321	0	0
11449	0	0
10609	0	0
9801	0	0
9025	0	0
8281	0	0
7569	0	0
6889	0	0
6241	0	0
5625	0	0
5041	0	0
4489	0	0
3969	0	0
3481	0	0
3025	0	0
2601	0	0
2209	0	0
1849	0	0
1521	0	0
1225	0	0
961	0	0
729	0	0
529	0	0
361	0	0
225	0	0
121	0	0
49	0	0
9	0	0
0	0	0
0	0	9
0	0	49
0	0	121
0	0	225
0	0	361
0	0	529
0	0	729
0	0	961
0	0	1225
0	0	1521
0	0	1849
0	0	2209
0	0	2601
0	0	2916
0	0	3364
0	0	3844
0	0	4356
0	0	4900
0	0	5476
0	0	6084
0	0	6724
0	0	7396
0	0	8100
0	0	8836
0	0	9604
0	0	10404
0	0	11025
0	0	11881
0	0	12769
0	0	13689
0	0	14641
0	0	15625
0	0	16641
0	0	17689
0	0	18769
0	0	19881
0	0	21025
0	0	22201
0	0	23409
0	0	24336
0	0	25600
0	0	26896
0	0	28224
0	0	29584
0	0	30976
0	0	32400
0	0	33856
0	0	35344
0	0	36864
0	0	38416
0	0	40000
0	0	41616
0	0	42849
0	0	44521
0	0	46225
0	0	47961
0	0	49729
0	0	51529
0	0	53361
0	0	55225
0	0	57121
0	0	59049
0	0	61009
0	0	63001
0	0	65025
16	16	65025
64	64	65025
144	144	65025
256	256	65025
400	400	65025
576	576	65025
784	784	65025
1024	1024	65025
1369	1369	65025
1681	1681	65025
2025	2025	65025
2401	2401	65025
2809	2809	65025
3249	3249	65025
3721	3721	65025
4225	4225	65025
4761	4761	65025
5476	5476	65025
6084	6084	65025
6724	6724	65025
7396	7396	65025
8100	8100	65025
8836	8836	65025
9604	9604	65025
10404	10404	65025
11236	11236	65025
12321	12321	65025
13225	13225	65025
14161	14161	65025
15129	15129	65025
16129	16129	65025
17161	17161	65025
18225	18225	65025
19321	19321	65025
20449	20449	65025
21904	21904	65025
23104	23104	65025
24336	24336	65025
25600	25600	65025
26896	26896	65025
28224	28224	65025
29584	29584	65025
30976	30976	65025
32400	32400	65025
34225	34225	65025
35721	35721	65025
37249	37249	65025
38809	38809	65025
40401	40401	65025
42025	42025	65025
43681	43681	65025
45369	45369	65025
47089	47089	65025
49284	49284	65025
51076	51076	65025
52900	52900	65025
54756	54756	65025
56644	56644	65025
58564	58564	65025
60516	60516	65025
62500	62500	65025
65025	65025	65025
