BlueYellow[][0]	BlueYellow[][1]	BlueYellow[][2]
65025	65025	65025
63001	63001	65025
61009	61009	65025
59049	59049	65025
57121	57121	65025
55225	55225	65025
53361	53361	65025
51529	51529	65025
49729	49729	65025
47961	47961	65025
46225	46225	65025
44521	44521	65025
42849	42849	65025
41209	41209	65025
39601	39601	65025
38025	38025	65025
36481	36481	65025
34969	34969	65025
33489	33489	65025
32041	32041	65025
30625	30625	65025
29241	29241	65025
27889	27889	65025
26569	26569	65025
25281	25281	65025
24025	24025	65025
22801	22801	65025
21609	21609	65025
20449	20449	65025
19321	19321	65025
18225	18225	65025
17161	17161	65025
16129	16129	65025
15129	15129	65025
14161	14161	65025
13225	13225	65025
12321	12321	65025
11449	11449	65025
10609	10609	65025
9801	9801	65025
9025	9025	65025
8281	8281	65025
7569	7569	65025
6889	6889	65025
6241	6241	65025
5625	5625	65025
5041	5041	65025
4489	4489	65025
3969	3969	65025
3481	3481	65025
3025	3025	65025
2601	2601	65025
2209	2209	65025
1849	1849	65025
1521	1521	65025
1225	1225	65025
961	961	65025
729	729	65025
529	529	65025
361	361	65025
225	225	65025
121	121	65025
49	49	65025
9	9	65025
0	0	65025
0	0	63001
0	0	61009
0	0	59049
0	0	57121
0	0	55225
0	0	53361
0	0	51529
0	0	49729
0	0	47961
0	0	46225
0	0	44521
0	0	42849
0	0	41209
0	0	39601
0	0	38025
0	0	36481
0	0	34969
0	0	33489
0	0	32041
0	0	30625
0	0	29241
0	0	27889
0	0	26569
0	0	25281
0	0	24025
0	0	22801
0	0	21609
0	0	20449
0	0	19321
0	0	18225
0	0	17161
0	0	16129
0	0	15129
0	0	14161
0	0	13225
0	0	12321
0	0	11449
0	0	10609
0	0	9801
0	0	9025
0	0	8281
0	0	7569
0	0	6889
0	0	6241
0	0	5625
0	0	5041
0	0	4489
0	0	3969
0	0	3481
0	0	3025
0	0	2601
0	0	2209
0	0	1849
0	0	1521
0	0	1225
0	0	961
0	0	729
0	0	529
0	0	361
0	0	225
0	0	121
0	0	49
0	0	9
0	0	0
9	9	0
49	49	0
121	121	0
225	225	0
361	361	0
529	529	0
729	729	0
961	961	0
1225	1225	0
1521	1521	0
1849	1849	0
2209	2209	0
2601	2601	0
3025	3025	0
3481	3481	0
3969	3969	0
4489	4489	0
5041	5041	0
5625	5625	0
6241	6241	0
6889	6889	0
7569	7569	0
8281	8281	0
9025	9025	0
9801	9801	0
10609	10609	0
11449	11449	0
12321	12321	0
13225	13225	0
14161	14161	0
15129	15129	0
16129	16129	0
17161	17161	0
18225	18225	0
19321	19321	0
20449	20449	0
21609	21609	0
22801	22801	0
24025	24025	0
25281	25281	0
26569	26569	0
27889	27889	0
29241	29241	0
30625	30625	0
32041	32041	0
33489	33489	0
34969	34969	0
36481	36481	0
38025	38025	0
39601	39601	0
41209	41209	0
42849	42849	0
44521	44521	0
46225	46225	0
47961	47961	0
49729	49729	0
51529	51529	0
53361	53361	0
55225	55225	0
57121	57121	0
59049	59049	0
61009	61009	0
63001	63001	0
65025	65025	0
65025	65025	16
65025	65025	64
65025	65025	144
65025	65025	256
65025	65025	400
65025	65025	576
65025	65025	784
65025	65025	1024
65025	65025	1296
65025	65025	1600
65025	65025	1936
65025	65025	2304
65025	65025	2704
65025	65025	3136
65025	65025	3600
65025	65025	4096
65025	65025	4624
65025	65025	5184
65025	65025	5776
65025	65025	6400
65025	65025	7225
65025	65025	7921
65025	65025	8649
65025	65025	9409
65025	65025	10201
65025	65025	11025
65025	65025	11881
65025	65025	12769
65025	65025	13689
65025	65025	14641
65025	65025	15625
65025	65025	16641
65025	65025	17689
65025	65025	18769
65025	65025	19881
65025	65025	21025
65025	65025	22201
65025	65025	23409
65025	65025	24649
65025	65025	25921
65025	65025	27225
65025	65025	28900
65025	65025	30276
65025	65025	31684
65025	65025	33124
65025	65025	34596
65025	65025	36100
65025	65025	37636
65025	65025	39204
65025	65025	40804
65025	65025	42436
65025	65025	44100
65025	65025	45796
65025	65025	47524
65025	65025	49284
65025	65025	51076
65025	65025	52900
65025	65025	54756
65025	65025	56644
65025	65025	58564
65025	65025	60516
65025	65025	62500
65025	65025	64516
