FLAME_r[][0]	FLAME_g[][0]	FLAME_b[][0]
16	0	0
49	0	0
121	0	0
196	0	0
256	0	0
361	0	0
529	0	0
784	0	0
961	0	0
1225	0	0
1444	0	0
1764	0	0
2025	0	0
2304	0	0
2704	0	0
3025	0	0
3481	0	0
4096	0	0
4489	0	0
5041	0	0
5476	0	0
6084	0	0
6561	0	0
6889	0	0
7569	0	0
8281	0	0
9025	0	0
9801	0	0
10404	0	0
11025	0	0
11664	0	0
12544	0	0
13456	0	0
14641	0	0
15625	0	0
16384	0	0
17161	0	0
17956	0	0
19044	0	0
20164	0	0
21025	0	0
22201	0	0
23104	0	0
24336	0	0
25600	0	0
26569	0	0
27889	0	0
28900	0	0
30276	0	0
31684	0	0
32761	0	0
34225	0	0
35344	0	0
36864	0	0
38025	0	0
39601	0	0
41209	0	0
42436	0	0
44100	0	0
45796	0	0
47524	0	0
49284	0	0
50625	0	0
52441	0	0
53824	0	0
55696	0	0
57121	0	0
58564	0	0
60025	0	0
62001	0	0
63504	1	0
64009	16	0
64516	36	0
65025	100	0
65025	169	0
65025	256	0
65025	361	0
65025	484	0
65025	729	0
65025	900	0
65025	1156	0
65025	1369	0
65025	1681	0
65025	1936	0
65025	2209	0
65025	2601	0
65025	2916	0
65025	3364	0
65025	3969	0
65025	4356	0
65025	4900	0
65025	5329	0
65025	5929	0
65025	6400	0
65025	6889	0
65025	7396	0
65025	8100	0
65025	8836	0
65025	9801	0
65025	10201	0
65025	10816	0
65025	11449	0
65025	12321	0
65025	13225	0
65025	14161	0
65025	15376	0
65025	16129	0
65025	16900	0
65025	17689	0
65025	18769	0
65025	19881	0
65025	20736	0
65025	21904	0
65025	22801	0
65025	24025	0
65025	25281	0
65025	26244	0
65025	27556	0
65025	28561	0
65025	29929	0
65025	31329	0
65025	32400	0
65025	33856	0
65025	34969	0
65025	36481	0
65025	38025	0
65025	39204	0
65025	40804	0
65025	42025	0
65025	43681	0
65025	45369	0
65025	47089	0
65025	48841	0
65025	50176	0
65025	51984	0
65025	53361	0
65025	55225	0
65025	57121	0
65025	58081	0
65025	59536	0
65025	61504	0
65025	63001	1
65025	64009	9
65025	64516	36
65025	65025	81
65025	65025	144
65025	65025	225
65025	65025	324
65025	65025	441
65025	65025	676
65025	65025	841
65025	65025	1089
65025	65025	1369
65025	65025	1600
65025	65025	1849
65025	65025	2116
65025	65025	2500
65025	65025	2809
65025	65025	3249
65025	65025	3721
65025	65025	4225
65025	65025	4761
65025	65025	5184
65025	65025	5776
65025	65025	6241
65025	65025	6724
65025	65025	7225
65025	65025	7744
65025	65025	8649
65025	65025	9409
65025	65025	10000
65025	65025	10609
65025	65025	11236
65025	65025	12100
65025	65025	12996
65025	65025	13924
65025	65025	15129
65025	65025	15876
65025	65025	16641
65025	65025	17424
65025	65025	18496
65025	65025	19600
65025	65025	20449
65025	65025	21609
65025	65025	22500
65025	65025	23716
65025	65025	24964
65025	65025	25921
65025	65025	27225
65025	65025	28224
65025	65025	29584
65025	65025	30976
65025	65025	32041
65025	65025	33489
65025	65025	34596
65025	65025	36100
65025	65025	37636
65025	65025	38809
65025	65025	40401
65025	65025	41616
65025	65025	43264
65025	65025	44944
65025	65025	46656
65025	65025	48400
65025	65025	49729
65025	65025	51529
65025	65025	52900
65025	65025	54756
65025	65025	56644
65025	65025	58081
65025	65025	59049
65025	65025	61009
65025	65025	63001
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
