GOLD_r[][0]	GOLD_g[][0]	GOLD_b[][0]
0	0	0
1	0	0
9	4	0
25	9	1
49	25	4
81	36	9
121	64	9
169	81	16
256	121	25
324	169	36
361	169	36
484	225	49
576	289	49
676	324	64
784	400	81
900	441	100
1024	529	121
1156	576	121
1369	676	144
1521	784	169
1600	784	169
1849	900	196
2025	1024	196
2209	1089	225
2401	1225	256
2601	1296	289
2809	1444	324
3025	1521	324
3364	1681	361
3600	1849	400
3721	1849	400
4096	2025	441
4356	2209	484
4624	2304	484
4900	2500	529
5184	2601	576
5476	2809	625
5776	2916	625
6241	3136	676
6561	3364	729
6724	3364	729
7225	3600	784
7569	3844	841
7921	3969	841
8281	4225	900
8649	4356	961
9025	4489	1024
9409	4761	1089
10000	5041	1089
10404	5184	1156
10609	5329	1156
11236	5625	1225
11664	5776	1296
12100	6084	1296
12544	6241	1369
12996	6561	1444
13456	6724	1521
13924	7056	1600
14641	7396	1600
14884	7396	1600
15376	7744	1681
16129	8100	1764
16641	8281	1849
17161	8649	1936
17689	8836	1936
18225	9216	2025
18769	9409	2116
19321	9801	2209
20164	10201	2209
20449	10201	2209
21025	10609	2304
21904	11025	2401
22500	11236	2500
23104	11664	2601
23716	11881	2601
24336	12321	2704
24964	12544	2809
25600	12996	2916
26244	13456	3025
27556	13456	3025
28224	13924	3025
28561	14400	3136
28561	14641	3249
28900	15129	3364
29241	15376	3481
29584	15876	3600
29929	16129	3600
30276	16641	3600
30276	17161	3600
30276	17161	3600
30625	17689	3600
30976	17956	3600
31684	18496	3600
32041	19044	3600
32400	19044	3600
32400	19044	3600
32761	19321	3600
33124	19600	3600
33489	19881	3600
33489	19881	3600
33856	19881	3600
34225	20164	3600
34596	20164	3600
34969	20449	3600
35344	20736	3600
35721	20736	3600
36100	21025	3600
36481	21316	3600
36481	21316	3600
36481	21316	3600
36864	21316	3600
37249	21609	3600
37636	21904	3721
38025	22201	3844
38416	22201	3969
38809	22201	3969
39204	22500	4096
39601	22801	4225
39601	22801	4225
40000	23104	4225
40401	23104	4225
40804	23409	4356
40804	23409	4356
41209	23716	4356
41616	24025	4356
42025	24025	4356
42849	24336	4489
43264	24649	4489
43264	24649	4489
43264	24649	4489
43681	24649	4489
44100	24964	4624
44521	25281	4624
44944	25600	4624
45369	25600	4761
45369	25600	4761
45796	25921	4761
46656	26244	4761
46656	26244	4761
47089	26569	4761
47524	26569	4900
47961	26896	4900
47961	26896	4900
48400	27225	4900
48841	27225	5041
49284	27556	5041
49729	27889	5041
50176	28224	5041
50176	28224	5041
50625	28224	5041
51076	28224	5184
51529	28561	5184
51984	28900	5184
51984	29241	5329
52441	29241	5329
52441	29241	5329
52441	29584	5329
52441	29584	5329
52441	29929	5476
52441	30276	5476
52441	30276	5476
52441	30625	5476
52441	30625	5476
52441	30976	5625
52441	30976	5625
52441	31329	5625
52441	31684	5776
52441	31684	5776
52441	32041	5776
52441	32041	5776
52441	32041	6084
52900	32400	6400
52900	32761	6889
52900	33124	7396
52900	33124	7744
52900	33124	7921
52900	33489	8281
52900	33489	8464
52900	33856	8649
52900	33856	9025
52900	34225	9409
52900	34596	9604
52900	34596	9801
52900	34969	10201
52900	34969	10609
52900	35344	10816
53361	35721	11236
53361	35721	11449
53361	36100	11664
53361	36100	12100
53361	36100	12544
53361	36481	12769
53361	36864	12996
53361	37249	13456
53361	37249	13924
53361	37249	14161
53361	37636	14641
53361	37636	14884
53361	38025	15129
53361	38025	15625
53361	38416	16129
53361	38809	16384
53361	38809	16641
53824	39204	17161
53824	39204	17689
53824	39601	17956
53824	39601	18225
53824	40000	18769
53824	40401	19044
53824	40401	19600
53824	40401	20164
53824	40804	20449
53824	41209	20736
53824	41209	21316
53824	41616	21904
53824	41616	22201
53824	41616	22500
53824	42025	23104
53824	42436	23409
54289	42436	24025
54289	42849	24649
54289	43264	24964
54756	43264	25281
55225	43681	25921
55696	43681	26569
55696	44100	26896
55696	44100	27225
56169	44944	27889
56644	45796	28224
57121	46225	28900
57121	47089	29584
57600	47524	29929
58081	48400	30276
58564	49284	31329
58564	49729	33124
59049	50625	34225
59049	51076	35344
59536	51984	36864
60025	52441	38025
60025	53361	39204
60516	54289	40804
61009	54756	42025
61504	55696	43264
61504	56169	44521
62001	57121	46225
62500	58081	47524
62500	58564	48841
63001	59049	50625
63001	60025	51984
63504	61009	53361
64009	62001	55225
64516	62500	56644
64516	63001	58081
65025	64009	59536
65025	65025	61504
65025	65025	63504
