GREEN1_r[][0]	GREEN1_g[][0]	GREEN1_b[][0]
0	0	0
0	0	0
0	0	0
1	1	0
4	4	0
9	9	1
16	16	4
16	25	9
25	36	16
36	49	25
36	49	25
49	64	36
64	81	49
81	100	49
81	121	64
100	144	81
121	169	100
144	196	121
169	256	144
196	289	169
196	289	169
196	324	196
225	361	225
256	400	225
289	441	256
324	484	256
361	529	256
361	625	256
361	676	256
361	729	256
361	729	256
361	784	256
361	841	256
361	900	256
361	961	256
361	1024	256
361	1156	256
361	1225	256
361	1296	289
361	1369	289
361	1369	289
361	1444	289
361	1521	289
361	1600	289
361	1764	289
361	1849	289
361	1936	289
361	2025	289
361	2116	289
361	2209	289
361	2209	289
361	2304	289
361	2401	289
361	2601	289
361	2704	289
361	2809	289
361	2916	289
361	3025	289
361	3136	289
361	3136	289
361	3249	289
361	3364	324
361	3600	324
361	3721	324
361	3844	324
361	3969	324
361	4096	324
361	4225	324
400	4356	324
400	4356	324
400	4624	324
400	4761	324
400	4900	324
400	5041	324
400	5184	324
400	5329	324
400	5476	324
400	5625	324
400	5776	324
400	5929	324
400	6084	324
400	6241	324
400	6400	324
400	6561	324
400	6724	361
400	6889	361
400	7056	361
400	7225	361
400	7569	361
400	7569	361
400	7744	361
400	7921	361
400	8100	361
400	8281	361
400	8464	361
400	8649	361
400	8836	361
441	9216	361
441	9409	361
441	9409	361
441	9604	361
441	9801	361
441	10000	361
441	10201	361
441	10404	361
441	10609	361
441	11025	361
441	11236	400
441	11236	400
441	11449	400
441	11664	400
441	11881	400
441	12100	400
441	12321	400
441	12544	400
441	12996	400
441	13225	400
441	13456	400
441	13456	400
441	13689	400
441	13924	400
441	14161	400
441	14400	400
441	14641	400
441	15129	400
441	15376	400
484	15625	400
484	15876	400
484	15876	400
484	16129	400
484	16384	400
484	16900	441
484	17161	441
484	17424	441
484	17689	441
484	17956	441
484	18225	441
484	18496	441
484	18496	441
484	18769	441
484	19321	441
484	19600	441
484	19881	441
484	20164	441
484	20449	441
484	20736	441
484	21025	441
484	21316	441
484	21316	441
484	21904	441
484	22201	441
484	22500	441
484	22801	441
484	23104	484
529	23409	484
529	23716	484
529	24025	484
529	24025	484
529	24649	484
529	24964	484
529	25281	484
529	25600	484
529	25921	484
529	26244	484
529	26569	484
625	26896	484
784	27225	484
900	27556	484
1089	27889	484
1296	28224	484
1444	28561	484
1600	28900	484
1849	29241	484
2116	29584	484
2304	29929	484
2601	30276	484
2916	30976	529
3136	30976	529
3364	31329	529
3721	31684	529
3969	32041	529
4356	32400	529
4761	32761	484
5184	33124	484
5476	33489	484
5929	34225	576
6241	34596	784
6561	34596	900
7056	34969	1156
7569	35344	1369
7921	35721	1600
8464	36100	1936
9025	36481	2209
9409	37249	2500
9801	37636	2809
10404	38025	3249
11025	38416	3721
11449	38416	3969
12100	38809	4489
12769	39204	4900
13225	39601	5476
13924	40401	5929
14400	40804	6400
14884	41209	7056
15625	41616	7569
16384	42025	8100
16900	42025	8649
17689	42436	9409
18225	42849	10000
19044	43264	10609
19600	44100	11449
20449	44521	12100
21316	44944	12769
21904	45369	13689
22801	45796	14400
23716	46225	15129
24025	46225	15876
24964	46656	16900
25921	47089	17956
26896	47961	18769
27556	48400	19600
28561	48841	20449
29584	49284	21609
30276	49729	22500
30976	50176	23409
32041	50625	24649
32761	50625	25281
33856	51076	26569
34969	51984	27889
35721	52441	28561
36864	52900	29929
37636	53361	30976
38809	53824	32400
39601	54289	33124
40804	54756	34596
42025	55225	36100
42849	55225	37249
44100	56169	38416
45369	56644	39601
46225	57121	41209
47089	57600	42436
48400	58081	43681
49284	58564	45369
50625	59049	46656
51984	59536	47961
53361	60025	49729
54289	60516	51076
55225	61009	52441
56644	61504	53824
57600	62001	55696
59049	62500	57121
60516	63001	58564
61504	63504	60516
63001	64009	62001
64009	64516	63504
64009	64516	63504
