GreenBlack[][0]	GreenBlack[][1]	GreenBlack[][2]
16384	65025	0
16129	64516	0
15876	64009	0
15876	63504	0
15625	63001	0
15625	62500	0
15376	62001	0
15376	61504	0
15129	61009	0
15129	60516	0
14884	60025	0
14884	59536	0
14641	59049	0
14641	58564	0
14400	58081	0
14400	57600	0
14161	57121	0
14161	56644	0
13924	56169	0
13924	55696	0
13689	55225	0
13689	54756	0
13456	54289	0
13456	53824	0
13225	53361	0
13225	52900	0
12996	52441	0
12996	51984	0
12769	51529	0
12769	51076	0
12544	50625	0
12544	50176	0
12321	49729	0
12321	49284	0
12100	48841	0
12100	48400	0
11881	47961	0
11881	47524	0
11664	47089	0
11664	46656	0
11449	46225	0
11449	45796	0
11236	45369	0
11236	44944	0
11025	44521	0
11025	44100	0
10816	43681	0
10816	43264	0
10609	42849	0
10609	42436	0
10404	42025	0
10404	41616	0
10201	41209	0
10201	40804	0
10000	40401	0
10000	40000	0
9801	39601	0
9801	39204	0
9604	38809	0
9604	38416	0
9409	38025	0
9409	37636	0
9216	37249	0
9216	36864	0
9025	36481	0
9025	36100	0
8836	35721	0
8836	35344	0
8649	34969	0
8649	34596	0
8464	34225	0
8464	33856	0
8281	33489	0
8281	33124	0
8100	32761	0
8100	32400	0
7921	32041	0
7921	31684	0
7744	31329	0
7744	30976	0
7569	30625	0
7569	30276	0
7396	29929	0
7396	29584	0
7225	29241	0
7225	28900	0
7056	28561	0
7056	28224	0
6889	27889	0
6889	27556	0
6724	27225	0
6724	26896	0
6561	26569	0
6561	26244	0
6400	25921	0
6400	25600	0
6241	25281	0
6241	24964	0
6084	24649	0
6084	24336	0
5929	24025	0
5929	23716	0
5776	23409	0
5776	23104	0
5625	22801	0
5625	22500	0
5476	22201	0
5476	21904	0
5329	21609	0
5329	21316	0
5184	21025	0
5184	20736	0
5041	20449	0
5041	20164	0
4900	19881	0
4900	19600	0
4761	19321	0
4761	19044	0
4624	18769	0
4624	18496	0
4489	18225	0
4489	17956	0
4356	17689	0
4356	17424	0
4225	17161	0
4225	16900	0
4096	16641	0
4096	16384	0
3969	16129	0
3969	15876	0
3844	15625	0
3844	15376	0
3721	15129	0
3721	14884	0
3600	14641	0
3600	14400	0
3481	14161	0
3481	13924	0
3364	13689	0
3364	13456	0
3249	13225	0
3249	12996	0
3136	12769	0
3136	12544	0
3025	12321	0
3025	12100	0
2916	11881	0
2916	11664	0
2809	11449	0
2809	11236	0
2704	11025	0
2704	10816	0
2601	10609	0
2601	10404	0
2500	10201	0
2500	10000	0
2401	9801	0
2401	9604	0
2304	9409	0
2304	9216	0
2209	9025	0
2209	8836	0
2116	8649	0
2116	8464	0
2025	8281	0
2025	8100	0
1936	7921	0
1936	7744	0
1849	7569	0
1849	7396	0
1764	7225	0
1764	7056	0
1681	6889	0
1681	6724	0
1600	6561	0
1600	6400	0
1521	6241	0
1521	6084	0
1444	5929	0
1444	5776	0
1369	5625	0
1369	5476	0
1296	5329	0
1296	5184	0
1225	5041	0
1225	4900	0
1156	4761	0
1156	4624	0
1089	4489	0
1089	4356	0
1024	4225	0
1024	4096	0
961	3969	0
961	3844	0
900	3721	0
900	3600	0
841	3481	0
841	3364	0
784	3249	0
784	3136	0
729	3025	0
729	2916	0
676	2809	0
676	2704	0
625	2601	0
625	2500	0
576	2401	0
576	2304	0
529	2209	0
529	2116	0
484	2025	0
484	1936	0
441	1849	0
441	1764	0
400	1681	0
400	1600	0
361	1521	0
361	1444	0
324	1369	0
324	1296	0
289	1225	0
289	1156	0
256	1089	0
256	1024	0
225	961	0
225	900	0
196	841	0
196	784	0
169	729	0
169	676	0
144	625	0
144	576	0
121	529	0
121	484	0
100	441	0
100	400	0
81	361	0
81	324	0
64	289	0
64	256	0
49	225	0
49	196	0
36	169	0
36	144	0
25	121	0
25	100	0
16	81	0
16	64	0
9	49	0
9	36	0
4	25	0
4	16	0
1	9	0
1	4	0
0	1	0
0	0	0
