LIMEGREEN_r[][0]	LIMEGREEN_g[][0]	LIMEGREEN_b[][0]
1	3481	0
1	3481	0
1	3844	0
1	4489	0
9	5184	0
16	5929	0
25	6889	0
36	7744	0
64	8836	0
100	9801	1
121	10816	1
169	12100	4
225	13225	9
289	14641	9
361	15876	9
400	17161	9
441	18496	9
529	19321	9
625	19881	9
729	20736	9
729	21025	9
841	21609	9
961	22201	9
1089	22801	9
1225	23716	16
1369	24336	16
1521	24964	25
1681	25600	36
1849	26244	49
2025	27225	49
2116	27556	49
2304	28224	49
2500	29241	49
2704	29929	49
2916	30625	49
3025	31329	49
3249	32041	49
3481	32761	49
3844	33856	49
4225	34596	49
4356	34969	49
4761	36100	49
5041	36864	64
5329	37636	64
5776	38416	81
6241	38809	100
6561	39204	121
7056	39601	121
7569	40000	121
8100	40401	121
8281	40401	121
8836	40804	121
9409	41616	121
9801	42025	121
10201	42025	121
10609	42436	144
11025	42849	144
11236	43264	169
11664	43681	196
11664	43681	196
12100	44100	196
12321	44521	225
12769	44944	225
12996	45369	256
13225	45796	289
13456	45796	324
13924	46225	324
14161	46656	361
14641	47089	361
14641	47089	361
15129	47524	400
15376	47961	441
15625	48400	484
16129	48841	484
16384	49284	529
16641	49729	529
17161	50176	576
17424	50176	576
17956	50176	625
17956	50176	625
18225	50176	625
18769	50625	676
19044	50625	729
19600	50625	729
19881	50625	729
20164	51076	784
20736	51076	784
21025	51076	784
21609	51076	841
21609	51076	841
21904	51529	900
22500	51529	900
22801	51529	961
23409	51529	1024
23716	51984	1024
24025	51984	1089
24649	51984	1156
24964	51984	1156
25281	52441	1225
25600	52441	1225
25921	52441	1296
26569	52441	1296
26896	52441	1369
27225	52900	1444
27889	52900	1521
28224	52900	1600
28561	52900	1764
29241	53361	1936
29241	53361	2025
29929	53361	2209
30276	53361	2401
30976	53361	2500
31329	53824	2704
31684	53824	2809
32041	53824	2916
32761	53824	3025
33124	54289	3249
33856	54289	3364
33856	54289	3481
34596	54289	3721
34969	54289	3844
35721	54289	4096
36100	54756	4356
36481	54756	4489
36864	54756	4624
37636	54756	4900
38025	55225	5184
38809	55225	5329
38809	55225	5476
39601	55225	5776
40000	55225	5929
40401	55696	6241
41209	55696	6400
41616	55696	6561
42025	55696	6889
42849	56169	7056
43264	56169	7225
44100	56169	7396
44100	56169	7396
44521	56169	7744
45369	56644	7921
45796	56644	8100
46656	56644	8464
47089	56644	8649
47524	57121	9025
48400	57121	9216
48841	57121	9604
49284	57121	9801
49284	57121	10000
49729	57600	10404
49729	57600	10609
49729	57600	11025
50176	57600	11236
50176	58081	11449
50176	58081	11881
50625	58081	12321
50625	58081	12544
50625	58081	12769
50625	58564	13225
51076	58564	13456
51076	59049	13924
51076	59049	14161
51529	59049	14400
51529	59049	14884
51529	59049	15376
51984	59049	15625
51984	59049	16129
51984	59049	16129
51984	59536	16641
52441	59536	17161
52441	59536	17424
52441	59536	17956
52900	59536	18225
52900	59536	18769
53361	60025	19044
53361	60025	19600
53361	60025	19881
53361	60025	20164
53824	60025	20736
53824	60025	21025
53824	60025	21609
54289	60516	21904
54289	60516	22201
54289	60516	22801
54756	60516	23409
54756	60516	23716
54756	60516	24336
54756	60516	24649
55225	61009	24964
55225	61009	25600
55225	61009	25921
55696	61009	26569
55696	61009	26896
55696	61009	27556
56169	61504	27889
56169	61504	28561
56169	61504	28900
56169	61504	29241
56644	61504	29929
56644	61504	30276
57121	61504	30976
57121	62001	31684
57121	62001	32041
57600	62001	32400
57600	62001	33124
57600	62001	33489
57600	62001	33856
58081	62001	34596
58081	62500	34969
58081	62500	35721
58564	62500	36100
58564	62500	36481
58564	62500	37249
59049	62500	38025
59049	63001	38416
59049	63001	39204
59049	63001	39601
59536	63001	40000
59536	63001	40804
59536	63001	41209
60025	63001	42025
60025	63504	42436
60025	63504	43264
60516	63504	43681
60516	63504	44521
60516	63504	44944
60516	63504	45369
61009	63504	46225
61009	64009	46656
61504	64009	47524
61504	64009	48400
61504	64009	48841
62001	64009	49284
62001	64009	50176
62001	64516	50625
62500	64516	51529
62500	64516	51984
62500	64516	52441
62500	64516	53361
63001	64516	53824
63001	64516	54756
63001	64516	55225
63504	64516	56169
63504	64516	56644
63504	64516	57600
64009	64516	58564
64009	64516	58564
64009	65025	59536
64009	64516	60025
64516	64516	61009
64516	64516	62001
64516	64516	62500
64516	64516	63001
64516	64516	64009
64516	64516	64009
64516	64516	64009
