LITEBLUE_r[][0]	LITEBLUE_g[][0]	LITEBLUE_b[][0]
0	0	0
0	0	0
0	0	9
0	1	36
0	4	100
0	9	169
0	25	289
0	49	441
0	64	576
0	121	784
0	144	961
0	196	1225
0	256	1521
0	324	1849
0	361	2209
0	400	2601
0	484	3025
0	576	3600
1	625	4489
9	729	5329
9	729	6084
16	784	6724
16	961	7396
16	1089	7921
16	1156	8649
16	1225	9604
16	1369	10404
16	1521	11449
16	1600	12321
16	1849	13225
16	1849	14161
16	2025	15376
16	2209	16384
16	2401	17689
16	2500	18769
16	2601	19881
16	2809	21025
16	3025	22201
16	3136	23409
16	3364	24649
16	3481	25921
25	3600	26896
36	3844	27889
49	4096	29584
64	4225	30976
64	4356	31684
64	4624	32400
64	4900	33489
64	5184	34225
64	5625	35344
64	5776	35721
64	5929	36481
64	6241	37249
64	6561	38025
64	6724	38809
64	6889	38809
64	7225	39601
64	7569	40401
64	7744	41209
64	7921	41616
64	8281	42436
64	8464	42849
81	8836	43264
100	9216	44100
121	9409	44521
144	9801	44944
144	10201	45369
144	10816	45796
144	11025	45796
144	11236	45796
144	11664	46225
144	11881	46656
144	12321	47089
144	12544	47524
144	12769	47961
144	13225	47961
144	13689	48841
144	14161	49284
144	14400	49284
144	14641	49284
144	15129	49729
144	15376	50176
144	15876	50625
169	16384	51076
196	16641	51076
225	17161	51529
196	17689	51529
169	18225	51529
169	18496	51529
169	18769	51984
169	19321	52441
196	19600	52900
225	20164	52900
256	20736	53361
256	21025	53824
289	21609	54289
324	22500	54756
361	23409	54756
400	24336	55225
441	24649	55225
484	25600	56169
529	25921	56644
576	26569	56644
625	26896	56644
676	27556	57121
729	27889	57600
784	28561	58564
784	29241	58564
784	29584	58564
784	30625	58564
841	31329	59536
900	31684	60025
961	32400	60516
1024	32761	61009
1156	33489	61009
1156	33856	61009
1225	34596	61009
1296	35344	61009
1296	36100	61009
1369	36864	61009
1444	37636	61009
1521	38025	61009
1600	38809	61009
1681	39204	61009
1764	40000	62001
1849	40804	62500
1936	41616	63001
2116	42849	63001
2116	42849	63001
2116	43264	63001
2209	44100	63001
2304	44521	63001
2401	44944	63001
2500	45369	63001
2704	45796	63001
2704	46225	63001
2809	46656	63001
3025	47089	64009
3025	47089	64009
3136	47961	64516
3136	48400	65025
3249	48841	65025
3249	48841	65025
3249	49284	65025
3481	49729	65025
3600	50176	65025
3844	51076	65025
4225	51076	65025
4489	51076	65025
5041	51076	65025
5476	51984	65025
6084	52441	65025
6724	52900	65025
7225	53361	65025
7744	53824	65025
8281	54289	65025
9025	54756	65025
9604	54756	65025
10201	54756	65025
11025	55225	65025
11664	56169	65025
12544	56644	65025
13225	56644	65025
14161	56644	65025
15129	57121	65025
15876	57121	65025
16900	57121	65025
17689	57121	65025
18496	57600	65025
19600	58081	65025
20449	58564	65025
21904	58564	65025
23409	59049	65025
25281	59049	65025
26896	59049	65025
27889	59049	65025
28900	60025	65025
29241	60025	65025
30276	60516	65025
30976	61009	65025
31684	61009	65025
32041	61009	65025
32400	61009	65025
33124	61009	65025
33856	62001	65025
34969	62500	65025
35721	63001	65025
36100	63001	65025
36481	63001	65025
37249	63001	65025
38025	63001	65025
38416	63001	65025
38809	63001	65025
39601	63504	65025
40401	63504	65025
41209	63001	65025
42436	63001	65025
42849	63001	65025
43264	63001	65025
44100	63001	65025
44944	63001	65025
45796	63001	65025
46656	63001	65025
47524	64009	65025
48400	64516	65025
48841	65025	65025
49284	65025	65025
50625	65025	65025
51076	65025	65025
51984	65025	65025
52900	65025	65025
53361	65025	65025
53824	65025	65025
54756	65025	65025
55225	65025	65025
55225	65025	65025
55696	65025	65025
56169	65025	65025
56644	65025	65025
57121	65025	65025
58081	65025	65025
58564	65025	65025
58564	65025	65025
58564	65025	65025
59049	65025	65025
59536	65025	65025
60025	65025	65025
60516	65025	65025
61009	65025	65025
61009	65025	65025
61009	65025	65025
61009	65025	65025
61504	65025	65025
62500	65025	65025
63001	65025	65025
63001	65025	65025
63001	65025	65025
63001	65025	65025
63001	65025	65025
63001	65025	65025
63001	65025	65025
63001	65025	65025
63001	64516	65025
63001	64009	65025
63001	63001	65025
63001	63001	65025
63001	63001	65025
63001	63001	65025
63504	63001	65025
64009	63001	65025
64516	63001	65025
65025	63001	65025
65025	63001	65025
65025	63001	65025
65025	63001	65025
65025	63001	65025
