LightBlueBlackLightGreen[][0]	LightBlueBlackLightGreen[][1]	LightBlueBlackLightGreen[][2]
0	40000	65025
0	39685	64513
0	39370	64001
0	39055	63489
0	38740	62977
0	38425	62465
0	38110	61953
0	37795	61441
0	37480	60929
0	37165	60417
0	36850	59905
0	36535	59393
0	36220	58881
0	35906	58369
0	35591	57857
0	35276	57345
0	34961	56833
0	34646	56321
0	34331	55809
0	34016	55297
0	33701	54785
0	33386	54273
0	33071	53761
0	32756	53249
0	32441	52737
0	32126	52225
0	31811	51713
0	31496	51201
0	31181	50689
0	30866	50177
0	30551	49665
0	30236	49153
0	29921	48641
0	29606	48129
0	29291	47617
0	28976	47105
0	28661	46593
0	28346	46081
0	28031	45569
0	27717	45057
0	27402	44545
0	27087	44033
0	26772	43521
0	26457	43009
0	26142	42497
0	25827	41985
0	25512	41473
0	25197	40961
0	24882	40449
0	24567	39937
0	24252	39425
0	23937	38913
0	23622	38401
0	23307	37889
0	22992	37377
0	22677	36865
0	22362	36353
0	22047	35841
0	21732	35329
0	21417	34817
0	21102	34305
0	20787	33793
0	20472	33281
0	20157	32769
0	19843	32256
0	19528	31744
0	19213	31232
0	18898	30720
0	18583	30208
0	18268	29696
0	17953	29184
0	17638	28672
0	17323	28160
0	17008	27648
0	16693	27136
0	16378	26624
0	16063	26112
0	15748	25600
0	15433	25088
0	15118	24576
0	14803	24064
0	14488	23552
0	14173	23040
0	13858	22528
0	13543	22016
0	13228	21504
0	12913	20992
0	12598	20480
0	12283	19968
0	11969	19456
0	11654	18944
0	11339	18432
0	11024	17920
0	10709	17408
0	10394	16896
0	10079	16384
0	9764	15872
0	9449	15360
0	9134	14848
0	8819	14336
0	8504	13824
0	8189	13312
0	7874	12800
0	7559	12288
0	7244	11776
0	6929	11264
0	6614	10752
0	6299	10240
0	5984	9728
0	5669	9216
0	5354	8704
0	5039	8192
0	4724	7680
0	4409	7168
0	4094	6656
0	3780	6144
0	3465	5632
0	3150	5120
0	2835	4608
0	2520	4096
0	2205	3584
0	1890	3072
0	1575	2560
0	1260	2048
0	945	1536
0	630	1024
0	315	512
0	0	0
0	0	0
315	512	0
630	1024	0
945	1536	0
1260	2048	0
1575	2560	0
1890	3072	0
2205	3584	0
2520	4096	0
2835	4608	0
3150	5120	0
3465	5632	0
3780	6144	0
4094	6656	0
4409	7168	0
4724	7680	0
5039	8192	0
5354	8704	0
5669	9216	0
5984	9728	0
6299	10240	0
6614	10752	0
6929	11264	0
7244	11776	0
7559	12288	0
7874	12800	0
8189	13312	0
8504	13824	0
8819	14336	0
9134	14848	0
9449	15360	0
9764	15872	0
10079	16384	0
10394	16896	0
10709	17408	0
11024	17920	0
11339	18432	0
11654	18944	0
11969	19456	0
12283	19968	0
12598	20480	0
12913	20992	0
13228	21504	0
13543	22016	0
13858	22528	0
14173	23040	0
14488	23552	0
14803	24064	0
15118	24576	0
15433	25088	0
15748	25600	0
16063	26112	0
16378	26624	0
16693	27136	0
17008	27648	0
17323	28160	0
17638	28672	0
17953	29184	0
18268	29696	0
18583	30208	0
18898	30720	0
19213	31232	0
19528	31744	0
19843	32256	0
20157	32769	0
20472	33281	0
20787	33793	0
21102	34305	0
21417	34817	0
21732	35329	0
22047	35841	0
22362	36353	0
22677	36865	0
22992	37377	0
23307	37889	0
23622	38401	0
23937	38913	0
24252	39425	0
24567	39937	0
24882	40449	0
25197	40961	0
25512	41473	0
25827	41985	0
26142	42497	0
26457	43009	0
26772	43521	0
27087	44033	0
27402	44545	0
27717	45057	0
28031	45569	0
28346	46081	0
28661	46593	0
28976	47105	0
29291	47617	0
29606	48129	0
29921	48641	0
30236	49153	0
30551	49665	0
30866	50177	0
31181	50689	0
31496	51201	0
31811	51713	0
32126	52225	0
32441	52737	0
32756	53249	0
33071	53761	0
33386	54273	0
33701	54785	0
34016	55297	0
34331	55809	0
34646	56321	0
34961	56833	0
35276	57345	0
35591	57857	0
35906	58369	0
36220	58881	0
36535	59393	0
36850	59905	0
37165	60417	0
37480	60929	0
37795	61441	0
38110	61953	0
38425	62465	0
38740	62977	0
39055	63489	0
39370	64001	0
39685	64513	0
40000	65025	0
