Pinkskal[][0]	Pinkskal[][1]	Pinkskal[][2]
961	0	0
1024	0	1
1225	0	9
1369	0	36
1521	0	64
1764	0	81
1936	0	144
2116	0	196
2401	0	256
2704	0	361
2809	1	400
3136	4	484
3364	9	625
3721	16	729
3969	25	841
4225	36	961
4624	49	1089
4900	64	1225
5329	64	1444
5625	64	1600
5929	64	1681
6400	64	1936
6724	81	2116
7056	100	2304
7569	121	2500
7921	144	2704
8464	169	3025
8836	225	3249
9216	225	3481
9801	256	3721
10201	289	3969
10609	324	4225
11236	361	4489
11664	400	4761
12321	400	5184
12769	400	5476
13225	400	5776
13689	441	6084
13924	484	6400
14400	529	6889
14641	529	7056
15129	576	7396
15376	625	7921
15876	676	8281
16129	729	8649
16384	784	9025
16641	900	9409
17161	961	9801
17424	961	9801
17956	1024	10000
18225	1024	10000
18496	1024	10201
19044	1024	10609
19600	1089	10816
19881	1156	11025
20164	1156	11025
20736	1225	11025
21316	1369	11025
21609	1444	11025
21904	1444	11236
22500	1521	11449
22801	1600	11664
23409	1681	11881
24025	1764	12100
24336	1849	12321
24649	1936	12544
24964	1936	12769
25281	1936	13225
25600	1936	13225
25921	1936	13225
26569	2025	13456
26896	2116	13689
27556	2209	13689
28224	2401	13689
28561	2500	13924
28561	2500	13924
28900	2601	14161
29584	2809	14400
29929	2916	14641
30276	3025	14884
31329	3136	15129
32041	3136	15376
32400	3136	15376
32761	3249	15625
33124	3249	15625
33489	3249	15625
34225	3364	15876
34596	3600	16129
34596	3600	16129
34969	3600	16129
35721	3844	16641
36481	3969	16900
37249	4096	17161
38025	4225	17424
38809	4356	17689
38809	4489	17689
39601	4624	17689
40000	4624	17956
40804	4761	17956
41209	4761	17956
42436	4761	18496
42849	4761	18769
43264	4900	18769
43681	5041	19044
44521	5184	19600
44944	5329	19881
45369	5476	20164
45796	5776	20449
45796	5776	20449
46656	5776	20736
47524	6084	21025
48400	6241	21025
49284	6400	21316
49729	6561	21316
50625	6561	21316
50625	6561	21316
51529	6561	21904
52441	6561	22201
52441	6561	22201
53361	6889	22500
54756	7056	23104
55225	7225	23409
56169	7225	23409
56644	7225	23409
57121	7569	23716
57600	7744	23716
58564	7921	23716
59536	8100	24025
60025	8100	24025
61009	8281	24336
61504	8464	24649
62001	8649	24964
62500	8649	25600
63001	8649	25921
63001	8649	26244
63001	8649	26244
63001	9025	26896
63001	9216	27225
63001	9216	27225
63001	9409	27556
63001	9801	27556
63001	10000	27556
63001	10000	27556
63001	10201	27556
63001	10609	28224
63001	10816	28561
63001	11025	28900
63001	11025	28900
63001	11025	28900
63001	11025	29241
63001	11025	29584
63001	11236	29929
63001	11449	30276
63001	11664	30276
63001	11881	30276
63001	12100	30276
63001	12321	30276
63001	12321	30625
63001	12544	30976
63001	12996	31329
63001	13225	31684
63001	13456	32041
63001	13456	32041
63001	13689	31684
63001	13689	32041
63001	13689	32400
63001	13924	33124
63001	13924	33124
63001	14161	33856
63001	14400	34225
63001	14641	34969
63001	14884	35344
63001	15129	35721
63001	15376	36481
63001	15876	36864
63001	16129	37636
63001	16384	38025
63001	16641	38416
63001	16900	38809
63001	17161	39601
63001	17689	40000
63001	17956	40804
63001	18225	41209
63001	18496	41616
63001	19044	42436
63001	19321	42849
63001	19600	43681
63001	19881	43681
63001	20164	44521
63001	20449	44944
63001	20736	45796
63001	21316	46225
63001	21904	46656
63001	22500	47524
63001	23104	47961
63001	23716	48841
63001	24336	49284
63001	24649	49729
63001	25281	50176
63001	25921	51076
63001	26569	51529
63001	27556	52441
63001	27889	52900
63001	28561	53361
63001	29241	54289
63001	29929	54756
63001	30276	56169
63001	30976	56644
63001	31684	56644
63001	32400	56644
63001	33124	57121
63001	33856	57121
63001	34596	57600
63001	35344	57600
63001	36100	58081
63001	36864	58081
63001	37636	58081
63001	38025	58081
63001	38809	58564
63001	39601	58564
63001	40401	59049
63001	40804	59049
63001	41616	59536
63001	42025	59536
63001	42849	59536
63001	43681	60025
63001	44100	60025
63001	44944	60025
63001	45796	60516
63001	46225	60516
63001	47089	61009
63001	47524	61009
63001	48400	61009
63001	49284	61504
63001	50176	61504
63001	50625	62001
63001	51076	62001
63001	51984	62001
63001	52900	62500
63001	53824	62500
63001	54756	62500
63001	55225	63001
63001	55696	63001
63001	56644	63504
63001	57600	63504
63001	58564	64009
63001	59049	64009
63001	59536	64009
63001	60516	64009
63001	61504	64516
63001	62500	64516
63001	63001	65025
63001	64009	65025
63001	64516	65025
63001	64516	65025
63001	65025	65025
