PurpleBlackCupper[][0]	PurpleBlackCupper[][1]	PurpleBlackCupper[][2]
40000	0	65025
39685	0	64513
39370	0	64001
39055	0	63489
38740	0	62977
38425	0	62465
38110	0	61953
37795	0	61441
37480	0	60929
37165	0	60417
36850	0	59905
36535	0	59393
36220	0	58881
35906	0	58369
35591	0	57857
35276	0	57345
34961	0	56833
34646	0	56321
34331	0	55809
34016	0	55297
33701	0	54785
33386	0	54273
33071	0	53761
32756	0	53249
32441	0	52737
32126	0	52225
31811	0	51713
31496	0	51201
31181	0	50689
30866	0	50177
30551	0	49665
30236	0	49153
29921	0	48641
29606	0	48129
29291	0	47617
28976	0	47105
28661	0	46593
28346	0	46081
28031	0	45569
27717	0	45057
27402	0	44545
27087	0	44033
26772	0	43521
26457	0	43009
26142	0	42497
25827	0	41985
25512	0	41473
25197	0	40961
24882	0	40449
24567	0	39937
24252	0	39425
23937	0	38913
23622	0	38401
23307	0	37889
22992	0	37377
22677	0	36865
22362	0	36353
22047	0	35841
21732	0	35329
21417	0	34817
21102	0	34305
20787	0	33793
20472	0	33281
20157	0	32769
19843	0	32256
19528	0	31744
19213	0	31232
18898	0	30720
18583	0	30208
18268	0	29696
17953	0	29184
17638	0	28672
17323	0	28160
17008	0	27648
16693	0	27136
16378	0	26624
16063	0	26112
15748	0	25600
15433	0	25088
15118	0	24576
14803	0	24064
14488	0	23552
14173	0	23040
13858	0	22528
13543	0	22016
13228	0	21504
12913	0	20992
12598	0	20480
12283	0	19968
11969	0	19456
11654	0	18944
11339	0	18432
11024	0	17920
10709	0	17408
10394	0	16896
10079	0	16384
9764	0	15872
9449	0	15360
9134	0	14848
8819	0	14336
8504	0	13824
8189	0	13312
7874	0	12800
7559	0	12288
7244	0	11776
6929	0	11264
6614	0	10752
6299	0	10240
5984	0	9728
5669	0	9216
5354	0	8704
5039	0	8192
4724	0	7680
4409	0	7168
4094	0	6656
3780	0	6144
3465	0	5632
3150	0	5120
2835	0	4608
2520	0	4096
2205	0	3584
1890	0	3072
1575	0	2560
1260	0	2048
945	0	1536
630	0	1024
315	0	512
0	0	0
0	0	0
512	315	0
1024	630	0
1536	945	0
2048	1260	0
2560	1575	0
3072	1890	0
3584	2205	0
4096	2520	0
4608	2835	0
5120	3150	0
5632	3465	0
6144	3780	0
6656	4094	0
7168	4409	0
7680	4724	0
8192	5039	0
8704	5354	0
9216	5669	0
9728	5984	0
10240	6299	0
10752	6614	0
11264	6929	0
11776	7244	0
12288	7559	0
12800	7874	0
13312	8189	0
13824	8504	0
14336	8819	0
14848	9134	0
15360	9449	0
15872	9764	0
16384	10079	0
16896	10394	0
17408	10709	0
17920	11024	0
18432	11339	0
18944	11654	0
19456	11969	0
19968	12283	0
20480	12598	0
20992	12913	0
21504	13228	0
22016	13543	0
22528	13858	0
23040	14173	0
23552	14488	0
24064	14803	0
24576	15118	0
25088	15433	0
25600	15748	0
26112	16063	0
26624	16378	0
27136	16693	0
27648	17008	0
28160	17323	0
28672	17638	0
29184	17953	0
29696	18268	0
30208	18583	0
30720	18898	0
31232	19213	0
31744	19528	0
32256	19843	0
32769	20157	0
33281	20472	0
33793	20787	0
34305	21102	0
34817	21417	0
35329	21732	0
35841	22047	0
36353	22362	0
36865	22677	0
37377	22992	0
37889	23307	0
38401	23622	0
38913	23937	0
39425	24252	0
39937	24567	0
40449	24882	0
40961	25197	0
41473	25512	0
41985	25827	0
42497	26142	0
43009	26457	0
43521	26772	0
44033	27087	0
44545	27402	0
45057	27717	0
45569	28031	0
46081	28346	0
46593	28661	0
47105	28976	0
47617	29291	0
48129	29606	0
48641	29921	0
49153	30236	0
49665	30551	0
50177	30866	0
50689	31181	0
51201	31496	0
51713	31811	0
52225	32126	0
52737	32441	0
53249	32756	0
53761	33071	0
54273	33386	0
54785	33701	0
55297	34016	0
55809	34331	0
56321	34646	0
56833	34961	0
57345	35276	0
57857	35591	0
58369	35906	0
58881	36220	0
59393	36535	0
59905	36850	0
60417	37165	0
60929	37480	0
61441	37795	0
61953	38110	0
62465	38425	0
62977	38740	0
63489	39055	0
64001	39370	0
64513	39685	0
65025	40000	0
