PurpleOrange[][0]	PurpleOrange[][1]	PurpleOrange[][2]
4096	0	16384
4096	0	16129
4225	1	16129
4356	1	16129
4356	4	15876
4489	4	15876
4624	9	15876
4761	9	15876
4761	16	15625
4900	16	15625
5041	25	15625
5184	25	15625
5184	36	15376
5329	36	15376
5476	49	15376
5625	49	15376
5625	64	15129
5776	64	15129
5929	81	15129
6084	81	15129
6084	100	14884
6241	100	14884
6400	121	14884
6561	121	14884
6561	144	14641
6724	144	14641
6889	169	14641
7056	169	14641
7056	196	14400
7225	196	14400
7396	225	14400
7569	225	14400
7569	256	14161
7744	256	14161
7921	289	14161
8100	289	14161
8100	324	13924
8281	324	13924
8464	361	13924
8649	361	13924
8649	400	13689
8836	400	13689
9025	441	13689
9216	441	13689
9216	484	13456
9409	484	13456
9604	529	13456
9801	529	13456
9801	576	13225
10000	576	13225
10201	625	13225
10404	625	13225
10404	676	12996
10609	676	12996
10816	729	12996
11025	729	12996
11025	784	12769
11236	784	12769
11449	841	12769
11664	841	12769
11664	900	12544
11881	900	12544
12100	961	12544
12321	961	12544
12321	1024	12321
12544	1024	12321
12769	1089	12321
12996	1089	12321
12996	1156	12100
13225	1156	12100
13456	1225	12100
13689	1225	12100
13689	1296	11881
13924	1296	11881
14161	1369	11881
14400	1369	11881
14400	1444	11664
14641	1444	11664
14884	1521	11664
15129	1521	11664
15129	1600	11449
15376	1600	11449
15625	1681	11449
15876	1681	11449
15876	1764	11236
16129	1764	11236
16384	1849	11236
16641	1849	11236
16641	1936	11025
16900	1936	11025
17161	2025	11025
17424	2025	11025
17424	2116	10816
17689	2116	10816
17956	2209	10816
18225	2209	10816
18225	2304	10609
18496	2304	10609
18769	2401	10609
19044	2401	10609
19044	2500	10404
19321	2500	10404
19600	2601	10404
19881	2601	10404
19881	2704	10201
20164	2704	10201
20449	2809	10201
20736	2809	10201
20736	2916	10000
21025	2916	10000
21316	3025	10000
21609	3025	10000
21609	3136	9801
21904	3136	9801
22201	3249	9801
22500	3249	9801
22500	3364	9604
22801	3364	9604
23104	3481	9604
23409	3481	9604
23409	3600	9409
23716	3600	9409
24025	3721	9409
24336	3721	9409
24336	3844	9216
24649	3844	9216
24964	3969	9216
25281	3969	9216
25281	4096	9025
25600	4096	9025
25921	4225	9025
26244	4225	9025
26244	4356	8836
26569	4356	8836
26896	4489	8836
27225	4489	8836
27225	4624	8649
27556	4624	8649
27889	4761	8649
28224	4761	8649
28224	4900	8464
28561	4900	8464
28900	5041	8464
29241	5041	8464
29241	5184	8281
29584	5184	8281
29929	5329	8281
30276	5329	8281
30276	5476	8100
30625	5476	8100
30976	5625	8100
31329	5625	8100
31329	5776	7921
31684	5776	7921
32041	5929	7921
32400	5929	7921
32400	6084	7744
32761	6084	7744
33124	6241	7744
33489	6241	7744
33489	6400	7569
33856	6400	7569
34225	6561	7569
34596	6561	7569
34596	6724	7396
34969	6724	7396
35344	6889	7396
35721	6889	7396
35721	7056	7225
36100	7056	7225
36481	7225	7225
36864	7225	7225
36864	7396	7056
37249	7396	7056
37636	7569	7056
38025	7569	7056
38025	7744	6889
38416	7744	6889
38809	7921	6889
39204	7921	6889
39204	8100	6724
39601	8100	6724
40000	8281	6724
40401	8281	6724
40401	8464	6561
40804	8464	6561
41209	8649	6561
41616	8649	6561
41616	8836	6400
42025	8836	6400
42436	9025	6400
42849	9025	6400
42849	9216	6241
43264	9216	6241
43681	9409	6241
44100	9409	6241
44100	9604	6084
44521	9604	6084
44944	9801	6084
45369	9801	6084
45369	10000	5929
45796	10000	5929
46225	10201	5929
46656	10201	5929
46656	10404	5776
47089	10404	5776
47524	10609	5776
47961	10609	5776
47961	10816	5625
48400	10816	5625
48841	11025	5625
49284	11025	5625
49284	11236	5476
49729	11236	5476
50176	11449	5476
50625	11449	5476
50625	11664	5329
51076	11664	5329
51529	11881	5329
51984	11881	5329
51984	12100	5184
52441	12100	5184
52900	12321	5184
53361	12321	5184
53361	12544	5041
53824	12544	5041
54289	12769	5041
54756	12769	5041
54756	12996	4900
55225	12996	4900
55696	13225	4900
56169	13225	4900
56169	13456	4761
56644	13456	4761
57121	13689	4761
57600	13689	4761
57600	13924	4624
58081	13924	4624
58564	14161	4624
59049	14161	4624
59049	14400	4489
59536	14400	4489
60025	14641	4489
60516	14641	4489
60516	14884	4356
61009	14884	4356
61504	15129	4356
62001	15129	4356
62001	15376	4225
62500	15376	4225
63001	15625	4225
63504	15625	4225
63504	15876	4096
64009	15876	4096
64516	16129	4096
65025	16384	4096
