Red_r[][0]	Red_g[][0]	Red_b[][0]
9	1	1
9	1	1
16	1	1
36	0	0
64	0	0
81	0	0
144	0	0
196	0	0
256	0	0
361	0	0
400	0	0
484	0	0
625	0	0
729	0	0
841	0	0
961	0	0
1156	0	0
1296	0	0
1444	0	0
1681	0	0
1764	0	0
2025	0	0
2209	0	0
2401	0	0
2601	0	0
2809	0	0
3136	0	0
3364	0	0
3600	0	0
3969	0	0
4096	0	0
4489	0	0
4761	0	0
5041	0	0
5476	0	0
5625	0	0
5929	0	0
6400	0	0
6724	0	0
7225	0	0
7396	0	0
7921	0	0
8281	0	0
8649	0	0
9216	0	0
9409	0	0
9801	0	0
10404	0	0
10816	0	0
11449	0	0
11664	0	0
12321	0	0
12769	0	0
13225	0	0
13456	0	0
13924	0	0
14400	0	0
15129	0	0
15625	0	0
16129	0	0
16641	0	0
17424	0	1
17956	0	0
18496	1	0
19044	0	0
19881	0	0
20449	0	0
21025	1	1
21904	4	4
22201	4	4
23104	9	9
23716	16	16
24336	25	25
25281	36	36
25921	49	49
26896	64	64
27556	81	81
28224	100	100
29241	121	121
29584	121	121
30625	144	144
31329	169	169
32041	196	196
33124	225	225
33856	256	256
34596	289	289
35344	324	324
36481	361	361
37249	400	400
38025	400	400
38809	441	441
40000	484	484
40804	529	529
41616	576	576
42849	625	625
43681	676	676
44521	729	729
45796	784	784
46656	841	841
47524	841	841
48400	900	900
49729	961	961
50625	1024	1024
51529	1089	1089
52441	1156	1156
53361	1225	1225
54756	1296	1296
55696	1369	1369
56644	1369	1369
57600	1444	1444
59049	1521	1521
60025	1600	1600
61009	1681	1681
62001	1764	1764
63001	1849	1849
64009	1936	1936
64516	2025	2025
64516	2116	2116
64516	2116	2116
64516	2209	2209
64516	2304	2304
64516	2401	2401
64516	2500	2500
64516	2601	2601
64516	2704	2704
64516	2704	2809
64516	2809	2916
64516	2916	3025
64516	2916	3025
64516	3025	3136
65025	3136	3249
65025	3249	3364
65025	3364	3481
65025	3481	3600
65025	3600	3721
65025	3721	3844
65025	3844	3969
65025	3969	4096
65025	3969	4096
65025	4096	4225
65025	4225	4356
65025	4356	4489
65025	4489	4624
65025	4624	4761
65025	4761	4900
65025	4900	5041
65025	5041	5184
65025	5184	5329
65025	5184	5329
65025	5329	5476
65025	5476	5625
65025	5625	5776
65025	5776	5929
65025	5929	6084
65025	6084	6241
65025	6241	6400
65025	6400	6561
65025	6400	6561
65025	6561	6724
65025	6724	6889
65025	6889	7056
65025	7056	7225
65025	7225	7396
65025	7396	7569
65025	7569	7744
65025	7744	7921
65025	7921	8100
65025	7921	8100
65025	8100	8281
65025	8281	8464
65025	8464	8649
65025	8649	8836
65025	8836	9025
65025	9025	9216
65025	9216	9409
65025	9409	9604
65025	9604	9801
65025	9604	9801
65025	9801	10000
65025	9801	10201
65025	9604	10404
65025	9604	10609
65025	9801	10609
65025	10201	10816
65025	10609	11236
65025	11025	11664
65025	11664	12100
65025	11881	12321
65025	12321	12996
65025	12996	13456
65025	13456	13924
65025	13924	14400
65025	14400	14884
65025	14884	15376
65025	15376	15876
65025	16129	16641
65025	16641	17161
65025	16900	17424
65025	17689	18225
65025	18225	18769
65025	18769	19321
65025	19321	20164
65025	19881	20449
65025	20449	21025
65025	21025	21904
65025	21904	22500
65025	22201	22801
65025	22801	23716
65025	23716	24336
65025	24336	24964
65025	24964	25600
65025	25600	26244
65025	26244	26896
65025	26896	27556
65025	27889	28561
65025	28561	29241
65025	28900	29584
65025	29929	30625
65025	30625	31329
65025	31329	32400
65025	32041	33124
65025	32761	33489
65025	33489	34596
65025	34225	35344
65025	35344	36100
65025	36100	36864
65025	36864	37636
65025	37636	38416
65025	38416	39204
65025	39204	40000
65025	40401	41209
65025	40804	41616
65025	42025	42849
65025	42849	43681
65025	43681	44521
65025	44521	45369
65025	45369	46225
65025	46225	47089
65025	47089	48400
65025	47961	49284
65025	49284	50176
65025	50176	51076
65025	51076	51984
65025	51984	52900
65025	52900	53824
65025	54289	55225
65025	54756	55696
65025	55696	56644
65025	57121	58081
65025	58081	59049
65025	59049	60025
65025	60025	61009
65025	61009	62001
65025	62001	63001
65025	63001	64009
65025	63001	64009
