RedWhiteBlue[][0]	RedWhiteBlue[][1]	RedBlueWhite[][2]
65025	0	0
65025	512	512
65025	1024	1024
65025	1536	1536
65025	2048	2048
65025	2560	2560
65025	3072	3072
65025	3584	3584
65025	4096	4096
65025	4608	4608
65025	5120	5120
65025	5632	5632
65025	6144	6144
65025	6656	6656
65025	7168	7168
65025	7680	7680
65025	8192	8192
65025	8704	8704
65025	9216	9216
65025	9728	9728
65025	10240	10240
65025	10752	10752
65025	11264	11264
65025	11776	11776
65025	12288	12288
65025	12800	12800
65025	13312	13312
65025	13824	13824
65025	14336	14336
65025	14848	14848
65025	15360	15360
65025	15872	15872
65025	16384	16384
65025	16896	16896
65025	17408	17408
65025	17920	17920
65025	18432	18432
65025	18944	18944
65025	19456	19456
65025	19968	19968
65025	20480	20480
65025	20992	20992
65025	21504	21504
65025	22016	22016
65025	22528	22528
65025	23040	23040
65025	23552	23552
65025	24064	24064
65025	24576	24576
65025	25088	25088
65025	25600	25600
65025	26112	26112
65025	26624	26624
65025	27136	27136
65025	27648	27648
65025	28160	28160
65025	28672	28672
65025	29184	29184
65025	29696	29696
65025	30208	30208
65025	30720	30720
65025	31232	31232
65025	31744	31744
65025	32256	32256
65025	32769	32769
65025	33281	33281
65025	33793	33793
65025	34305	34305
65025	34817	34817
65025	35329	35329
65025	35841	35841
65025	36353	36353
65025	36865	36865
65025	37377	37377
65025	37889	37889
65025	38401	38401
65025	38913	38913
65025	39425	39425
65025	39937	39937
65025	40449	40449
65025	40961	40961
65025	41473	41473
65025	41985	41985
65025	42497	42497
65025	43009	43009
65025	43521	43521
65025	44033	44033
65025	44545	44545
65025	45057	45057
65025	45569	45569
65025	46081	46081
65025	46593	46593
65025	47105	47105
65025	47617	47617
65025	48129	48129
65025	48641	48641
65025	49153	49153
65025	49665	49665
65025	50177	50177
65025	50689	50689
65025	51201	51201
65025	51713	51713
65025	52225	52225
65025	52737	52737
65025	53249	53249
65025	53761	53761
65025	54273	54273
65025	54785	54785
65025	55297	55297
65025	55809	55809
65025	56321	56321
65025	56833	56833
65025	57345	57345
65025	57857	57857
65025	58369	58369
65025	58881	58881
65025	59393	59393
65025	59905	59905
65025	60417	60417
65025	60929	60929
65025	61441	61441
65025	61953	61953
65025	62465	62465
65025	62977	62977
65025	63489	63489
65025	64001	64001
65025	64513	64513
65025	65025	65025
65025	65025	65025
64513	64513	65025
64001	64001	65025
63489	63489	65025
62977	62977	65025
62465	62465	65025
61953	61953	65025
61441	61441	65025
60929	60929	65025
60417	60417	65025
59905	59905	65025
59393	59393	65025
58881	58881	65025
58369	58369	65025
57857	57857	65025
57345	57345	65025
56833	56833	65025
56321	56321	65025
55809	55809	65025
55297	55297	65025
54785	54785	65025
54273	54273	65025
53761	53761	65025
53249	53249	65025
52737	52737	65025
52225	52225	65025
51713	51713	65025
51201	51201	65025
50689	50689	65025
50177	50177	65025
49665	49665	65025
49153	49153	65025
48641	48641	65025
48129	48129	65025
47617	47617	65025
47105	47105	65025
46593	46593	65025
46081	46081	65025
45569	45569	65025
45057	45057	65025
44545	44545	65025
44033	44033	65025
43521	43521	65025
43009	43009	65025
42497	42497	65025
41985	41985	65025
41473	41473	65025
40961	40961	65025
40449	40449	65025
39937	39937	65025
39425	39425	65025
38913	38913	65025
38401	38401	65025
37889	37889	65025
37377	37377	65025
36865	36865	65025
36353	36353	65025
35841	35841	65025
35329	35329	65025
34817	34817	65025
34305	34305	65025
33793	33793	65025
33281	33281	65025
32769	32769	65025
32256	32256	65025
31744	31744	65025
31232	31232	65025
30720	30720	65025
30208	30208	65025
29696	29696	65025
29184	29184	65025
28672	28672	65025
28160	28160	65025
27648	27648	65025
27136	27136	65025
26624	26624	65025
26112	26112	65025
25600	25600	65025
25088	25088	65025
24576	24576	65025
24064	24064	65025
23552	23552	65025
23040	23040	65025
22528	22528	65025
22016	22016	65025
21504	21504	65025
20992	20992	65025
20480	20480	65025
19968	19968	65025
19456	19456	65025
18944	18944	65025
18432	18432	65025
17920	17920	65025
17408	17408	65025
16896	16896	65025
16384	16384	65025
15872	15872	65025
15360	15360	65025
14848	14848	65025
14336	14336	65025
13824	13824	65025
13312	13312	65025
12800	12800	65025
12288	12288	65025
11776	11776	65025
11264	11264	65025
10752	10752	65025
10240	10240	65025
9728	9728	65025
9216	9216	65025
8704	8704	65025
8192	8192	65025
7680	7680	65025
7168	7168	65025
6656	6656	65025
6144	6144	65025
5632	5632	65025
5120	5120	65025
4608	4608	65025
4096	4096	65025
3584	3584	65025
3072	3072	65025
2560	2560	65025
2048	2048	65025
1536	1536	65025
1024	1024	65025
512	512	65025
0	0	65025
