SailingMod2[][0]	SailingMod2[][1]	SailingMod2[][2]
0	0	65025
0	0	64009
0	0	63001
0	0	62001
0	0	61009
0	0	60025
0	0	59049
0	0	58081
0	0	57121
0	0	56169
0	0	55225
0	0	54289
0	0	53361
0	0	52441
0	0	51529
0	0	50625
0	0	49729
0	0	48841
0	0	47961
0	0	47089
0	0	46225
0	0	45369
0	0	44521
0	0	43681
0	0	42849
0	0	42025
0	0	41209
0	0	40401
0	0	39601
0	0	38809
0	0	38025
0	0	37249
0	0	36481
0	0	35721
0	0	34969
0	0	34225
0	0	33489
0	0	32761
0	0	32041
0	0	31329
0	0	30625
0	0	29929
0	0	29241
0	0	28561
0	0	27889
0	0	27225
0	0	26569
0	0	25921
0	0	25281
0	0	24649
0	0	24025
0	0	23409
0	0	22801
0	0	22201
0	0	21609
0	0	21025
0	0	20449
0	0	19881
0	0	19321
0	0	18769
0	0	18225
0	0	17689
0	0	17161
0	0	16641
0	0	16129
0	0	15625
0	0	15129
0	0	14641
0	0	14161
0	0	13689
0	0	13225
0	0	12769
0	0	12321
0	0	11881
0	0	11449
0	0	11025
0	0	10609
0	0	10201
0	0	9801
0	0	9409
0	0	9025
0	0	8649
0	0	8281
0	0	7921
0	0	7569
0	0	7225
0	0	6889
0	0	6561
0	0	6241
0	0	5929
0	0	5625
0	0	5329
0	0	5041
0	0	4761
0	0	4489
0	0	4225
0	0	3969
0	0	3721
0	0	3481
0	0	3249
0	0	3025
0	0	2809
0	0	2601
0	0	2401
0	0	2209
0	0	2025
0	0	1849
0	0	1681
0	0	1521
0	0	1369
0	0	1225
0	0	1089
0	0	961
0	0	841
0	0	729
0	0	625
0	0	529
0	0	441
0	0	361
0	0	289
0	0	225
0	0	169
0	0	121
0	0	81
0	0	49
0	0	25
0	0	9
0	0	0
1	1	0
9	9	0
25	25	0
49	49	0
81	81	0
121	121	0
169	169	0
225	225	0
289	289	0
361	361	0
441	441	0
529	529	0
625	625	0
729	729	0
841	841	0
961	961	0
1089	1089	0
1225	1225	0
1369	1369	0
1521	1521	0
1681	1681	0
1849	1849	0
2025	2025	0
2209	2209	0
2401	2401	0
2601	2601	0
2809	2809	0
3025	3025	0
3249	3249	0
3481	3481	0
3721	3721	0
3969	3969	0
4225	4225	0
4489	4489	0
4761	4761	0
5041	5041	0
5329	5329	0
5625	5625	0
5929	5929	0
6241	6241	0
6561	6561	0
6889	6889	0
7225	7225	0
7569	7569	0
7921	7921	0
8281	8281	0
8649	8649	0
9025	9025	0
9409	9409	0
9801	9801	0
10201	10201	0
10609	10609	0
11025	11025	0
11449	11449	0
11881	11881	0
12321	12321	0
12769	12769	0
13225	13225	0
13689	13689	0
14161	14161	0
14641	14641	0
15129	15129	0
15625	15625	0
16129	16129	0
16641	16641	0
17161	17161	0
17689	17689	0
18225	18225	0
18769	18769	0
19321	19321	0
19881	19881	0
20449	20449	0
21025	21025	0
21609	21609	0
22201	22201	0
22801	22801	0
23409	23409	0
24025	24025	0
24649	24649	0
25281	25281	0
25921	25921	0
26569	26569	0
27225	27225	0
27889	27889	0
28561	28561	0
29241	29241	0
29929	29929	0
30625	30625	0
31329	31329	0
32041	32041	0
32761	32761	0
33489	33489	0
34225	34225	0
34969	34969	0
35721	35721	0
36481	36481	0
37249	37249	0
38025	38025	0
38809	38809	0
39601	39601	0
40401	40401	0
41209	41209	0
42025	42025	0
42849	42849	0
43681	43681	0
44521	44521	0
45369	45369	0
46225	46225	0
47089	47089	0
47961	47961	0
48841	48841	0
49729	49729	0
50625	50625	0
51529	51529	0
52441	52441	0
53361	53361	0
54289	54289	0
55225	55225	0
56169	56169	0
57121	57121	0
58081	58081	0
59049	59049	0
60025	60025	0
61009	61009	0
62001	62001	0
63001	63001	0
64009	64009	0
65025	65025	0
