SalingMod2[][0]	SalingMod2[][1]	SalingMod2[][2]
0	0	255
0	0	253
0	0	251
0	0	249
0	0	247
0	0	245
0	0	243
0	0	241
0	0	239
0	0	237
0	0	235
0	0	233
0	0	231
0	0	229
0	0	227
0	0	225
0	0	223
0	0	221
0	0	219
0	0	217
0	0	215
0	0	213
0	0	211
0	0	209
0	0	207
0	0	205
0	0	203
0	0	201
0	0	199
0	0	197
0	0	195
0	0	193
0	0	191
0	0	189
0	0	187
0	0	185
0	0	183
0	0	181
0	0	179
0	0	177
0	0	175
0	0	173
0	0	171
0	0	169
0	0	167
0	0	165
0	0	163
0	0	161
0	0	159
0	0	157
0	0	155
0	0	153
0	0	151
0	0	149
0	0	147
0	0	145
0	0	143
0	0	141
0	0	139
0	0	137
0	0	135
0	0	133
0	0	131
0	0	129
0	0	127
0	0	125
0	0	123
0	0	121
0	0	119
0	0	117
0	0	115
0	0	113
0	0	111
0	0	109
0	0	107
0	0	105
0	0	103
0	0	101
0	0	99
0	0	97
0	0	95
0	0	93
0	0	91
0	0	89
0	0	87
0	0	85
0	0	83
0	0	81
0	0	79
0	0	77
0	0	75
0	0	73
0	0	71
0	0	69
0	0	67
0	0	65
0	0	63
0	0	61
0	0	59
0	0	57
0	0	55
0	0	53
0	0	51
0	0	49
0	0	47
0	0	45
0	0	43
0	0	41
0	0	39
0	0	37
0	0	35
0	0	33
0	0	31
0	0	29
0	0	27
0	0	25
0	0	23
0	0	21
0	0	19
0	0	17
0	0	15
0	0	13
0	0	11
0	0	9
0	0	7
0	0	5
0	0	3
0	0	0
1	1	0
3	3	0
5	5	0
7	7	0
9	9	0
11	11	0
13	13	0
15	15	0
17	17	0
19	19	0
21	21	0
23	23	0
25	25	0
27	27	0
29	29	0
31	31	0
33	33	0
35	35	0
37	37	0
39	39	0
41	41	0
43	43	0
45	45	0
47	47	0
49	49	0
51	51	0
53	53	0
55	55	0
57	57	0
59	59	0
61	61	0
63	63	0
65	65	0
67	67	0
69	69	0
71	71	0
73	73	0
75	75	0
77	77	0
79	79	0
81	81	0
83	83	0
85	85	0
87	87	0
89	89	0
91	91	0
93	93	0
95	95	0
97	97	0
99	99	0
101	101	0
103	103	0
105	105	0
107	107	0
109	109	0
111	111	0
113	113	0
115	115	0
117	117	0
119	119	0
121	121	0
123	123	0
125	125	0
127	127	0
129	129	0
131	131	0
133	133	0
135	135	0
137	137	0
139	139	0
141	141	0
143	143	0
145	145	0
147	147	0
149	149	0
151	151	0
153	153	0
155	155	0
157	157	0
159	159	0
161	161	0
163	163	0
165	165	0
167	167	0
169	169	0
171	171	0
173	173	0
175	175	0
177	177	0
179	179	0
181	181	0
183	183	0
185	185	0
187	187	0
189	189	0
191	191	0
193	193	0
195	195	0
197	197	0
199	199	0
201	201	0
203	203	0
205	205	0
207	207	0
209	209	0
211	211	0
213	213	0
215	215	0
217	217	0
219	219	0
221	221	0
223	223	0
225	225	0
227	227	0
229	229	0
231	231	0
233	233	0
235	235	0
237	237	0
239	239	0
241	241	0
243	243	0
245	245	0
247	247	0
249	249	0
251	251	0
253	253	0
255	255	0
