Yellow[][0]	Yellow[][1]	Yellow[][2]
1	16	0
1	16	0
1	16	0
1	25	0
1	36	0
4	49	0
16	81	0
36	121	0
64	169	0
100	196	0
121	225	0
169	289	0
225	361	0
289	441	0
361	529	0
441	576	0
529	676	0
625	784	0
729	900	0
841	1024	0
900	1089	0
1024	1156	0
1225	1296	0
1369	1444	0
1521	1600	0
1600	1681	0
1764	1849	0
1936	2025	0
2116	2209	0
2401	2401	0
2500	2500	0
2704	2704	0
2916	2916	0
3136	3136	0
3364	3249	0
3600	3364	0
3844	3600	0
4096	3844	0
4356	4096	0
4624	4356	0
4761	4489	0
5041	4761	0
5476	5041	0
5776	5329	0
6084	5625	0
6241	5776	0
6561	6084	0
6889	6400	0
7225	6561	0
7744	6889	0
7921	7056	0
8281	7396	0
8649	7744	0
9025	8100	0
9216	8281	0
9801	8649	0
10201	9025	0
10609	9409	0
11025	9801	0
11236	10000	0
11664	10404	0
12100	10609	0
12769	11025	0
13225	11449	0
13456	11664	0
13924	12100	0
14400	12544	0
14884	12996	0
15376	13456	0
15876	13689	0
16384	14161	0
16900	14641	0
17424	15129	0
17956	15625	0
18225	15876	0
19044	16129	0
19600	16641	0
20164	17161	0
20736	17689	0
21025	17956	0
21609	18496	0
22201	19044	0
22801	19600	0
23716	20164	0
24025	20449	0
24649	21025	0
25281	21609	1
25921	21904	1
26569	22500	1
27225	22801	1
27889	23409	1
28561	24025	1
29241	24336	1
29929	24964	1
30276	25281	1
30976	25600	1
32041	25921	1
32761	26244	1
33489	26569	1
33856	26569	1
34596	26896	1
35344	27225	1
36100	27556	1
36481	27889	1
37249	28224	1
37636	28561	1
38025	28900	1
38416	29241	1
38416	29241	1
38809	29241	1
39204	29584	1
39601	29929	1
40000	30276	1
40401	30625	1
40804	30976	1
41209	31329	1
41616	31684	1
42025	31684	4
42025	31684	4
42025	32041	4
42436	32400	9
42849	32761	9
43264	33124	16
43681	33489	25
44100	33856	25
44521	34225	36
44521	34596	49
44944	34969	49
44944	34969	49
45369	35344	64
45796	35721	81
46225	36100	81
46656	36481	100
47089	36864	121
47524	37249	121
47524	37636	144
47961	38025	169
48400	38416	169
48400	38416	169
48841	38809	196
49284	39204	225
49729	39601	225
50176	39601	256
50176	40000	289
50625	40401	289
51076	40804	324
51529	41209	361
51984	41616	361
51984	41616	361
52441	42025	361
52900	42436	400
52900	42849	441
53361	43264	529
53824	43681	576
54289	44100	676
54756	44100	784
55225	44521	900
55225	44521	961
55696	44944	1089
55696	45369	1225
56169	45796	1369
56644	46225	1444
57121	46656	1521
57600	47089	1681
58081	47524	1849
58564	47961	2025
58564	48400	2209
58564	48400	2304
59049	48841	2500
59536	48841	2704
60025	49284	2916
60516	49729	3136
61009	50176	3249
61504	50625	3481
62001	51076	3721
62001	51529	3969
62001	51984	4225
62001	51984	4356
62001	52441	4489
62001	52900	4761
62500	53361	5041
62500	53824	5329
62500	54289	5476
62500	54289	5776
63001	54756	6084
63001	55225	6400
63001	55696	6724
63001	55696	6889
63001	56169	7225
63001	56644	7569
63504	57121	7921
63504	57600	8281
63504	58081	8464
63504	58564	8836
64009	59049	9216
64009	59536	9409
64009	59536	9801
64009	59536	10000
64009	60025	10404
64009	60516	10816
64516	61009	11236
64516	61504	11664
64516	62001	11881
64516	62500	12321
64516	63001	12769
64516	63504	13225
64516	63504	13456
64516	64009	13924
64516	64516	14400
64516	64516	14884
64516	64516	15376
64516	64516	15625
64516	64516	15876
64516	64516	16384
64516	64516	16900
64516	64516	17689
64516	64516	18225
64516	64516	19600
64516	64516	20736
64516	64516	22201
64516	65025	23716
64516	65025	25281
64516	65025	26896
65025	65025	28561
65025	65025	30276
65025	65025	32400
65025	65025	34225
65025	65025	36481
65025	65025	38025
65025	65025	40000
65025	65025	42436
65025	65025	44521
65025	65025	47089
65025	65025	49284
65025	65025	51529
65025	65025	54289
65025	65025	56169
65025	65025	59049
65025	65025	60516
65025	65025	62001
65025	65025	63001
65025	65025	63504
65025	65025	64009
65025	65025	64516
65025	65025	64516
65025	65025	64516
65025	65025	64516
65025	65025	64516
65025	65025	64516
65025	65025	64516
65025	65025	64009
65025	65025	63504
64516	65025	62500
64516	65025	61504
64516	65025	61009
64516	65025	61009
