cupper[][0]	cupper[][1]	cupper[][2]
0	0	0
340	209	0
681	419	0
1021	628	0
1362	838	0
1702	1047	0
2043	1257	0
2383	1466	0
2724	1675	0
3064	1885	0
3404	2094	0
3745	2304	0
4085	2513	0
4426	2723	0
4766	2932	0
5107	3141	0
5447	3351	0
5788	3560	0
6128	3770	0
6468	3979	0
6809	4188	0
7149	4398	0
7490	4607	0
7830	4817	0
8171	5026	0
8511	5236	0
8852	5445	0
9192	5654	0
9532	5864	0
9873	6073	0
10213	6283	0
10554	6492	0
10894	6702	0
11235	6911	0
11575	7120	0
11916	7330	0
12256	7539	0
12596	7749	0
12937	7958	0
13277	8168	0
13618	8377	0
13958	8586	0
14299	8796	0
14639	9005	0
14980	9215	0
15320	9424	0
15660	9634	0
16001	9843	0
16341	10052	0
16682	10262	0
17022	10471	0
17363	10681	0
17703	10890	0
18044	11099	0
18384	11309	0
18724	11518	0
19065	11728	0
19405	11937	0
19746	12147	0
20086	12356	0
20427	12565	0
20767	12775	0
21108	12984	0
21448	13194	0
21788	13403	0
22129	13613	0
22469	13822	0
22810	14031	0
23150	14241	0
23491	14450	0
23831	14660	0
24172	14869	0
24512	15079	0
24852	15288	0
25193	15497	0
25533	15707	0
25874	15916	0
26214	16126	0
26555	16335	0
26895	16545	0
27236	16754	0
27576	16963	0
27916	17173	0
28257	17382	0
28597	17592	0
28938	17801	0
29278	18010	0
29619	18220	0
29959	18429	0
30300	18639	0
30640	18848	0
30980	19058	0
31321	19267	0
31661	19476	0
32002	19686	0
32342	19895	0
32683	20105	0
33023	20314	0
33364	20524	0
33704	20733	0
34045	20942	0
34385	21152	0
34725	21361	0
35066	21571	0
35406	21780	0
35747	21990	0
36087	22199	0
36428	22408	0
36768	22618	0
37109	22827	0
37449	23037	0
37789	23246	0
38130	23455	0
38470	23665	0
38811	23874	0
39151	24084	0
39492	24293	0
39832	24503	0
40173	24712	0
40513	24921	0
40853	25131	0
41194	25340	0
41534	25550	0
41875	25759	0
42215	25969	0
42556	26178	0
42896	26387	0
43237	26597	0
43577	26806	0
43917	27016	0
44258	27225	0
44598	27435	0
44939	27644	0
45279	27853	0
45620	28063	0
45960	28272	0
46301	28482	0
46641	28691	0
46981	28901	0
47322	29110	0
47662	29319	0
48003	29529	0
48343	29738	0
48684	29948	0
49024	30157	0
49365	30366	0
49705	30576	0
50045	30785	0
50386	30995	0
50726	31204	0
51067	31414	0
51407	31623	0
51748	31832	0
52088	32042	0
52429	32251	0
52769	32461	0
53109	32670	0
53450	32880	0
53790	33089	0
54131	33298	0
54471	33508	0
54812	33717	0
55152	33927	0
55493	34136	0
55833	34346	0
56173	34555	0
56514	34764	0
56854	34974	0
57195	35183	0
57535	35393	0
57876	35602	0
58216	35812	0
58557	36021	0
58897	36230	0
59237	36440	0
59578	36649	0
59918	36859	0
60259	37068	0
60599	37277	0
60940	37487	0
61280	37696	0
61621	37906	0
61961	38115	0
62301	38325	0
62642	38534	0
62982	38743	0
63323	38953	0
63663	39162	0
64004	39372	0
64344	39581	0
64685	39791	0
65025	40000	0
65025	40000	0
65025	40397	1032
65025	40794	2064
65025	41192	3096
65025	41589	4129
65025	41986	5161
65025	42383	6193
65025	42781	7225
65025	43178	8257
65025	43575	9289
65025	43972	10321
65025	44369	11354
65025	44767	12386
65025	45164	13418
65025	45561	14450
65025	45958	15482
65025	46356	16514
65025	46753	17546
65025	47150	18579
65025	47547	19611
65025	47944	20643
65025	48342	21675
65025	48739	22707
65025	49136	23739
65025	49533	24771
65025	49931	25804
65025	50328	26836
65025	50725	27868
65025	51122	28900
65025	51519	29932
65025	51917	30964
65025	52314	31996
65025	52711	33029
65025	53108	34061
65025	53506	35093
65025	53903	36125
65025	54300	37157
65025	54697	38189
65025	55094	39221
65025	55492	40254
65025	55889	41286
65025	56286	42318
65025	56683	43350
65025	57081	44382
65025	57478	45414
65025	57875	46446
65025	58272	47479
65025	58669	48511
65025	59067	49543
65025	59464	50575
65025	59861	51607
65025	60258	52639
65025	60656	53671
65025	61053	54704
65025	61450	55736
65025	61847	56768
65025	62244	57800
65025	62642	58832
65025	63039	59864
65025	63436	60896
65025	63833	61929
65025	64231	62961
65025	64628	63993
65025	65025	65025
