defect1_r[][0]	defect1_g[][0]	defect1_b[][0]
0	0	0
0	4	81
0	9	144
0	16	196
0	16	256
0	25	324
0	36	441
0	49	576
0	49	729
0	64	961
0	64	1089
0	81	1369
0	100	1681
0	121	1936
0	144	2209
0	169	2500
0	196	2916
0	225	3364
0	225	3721
0	256	4225
0	256	4489
0	289	5041
0	324	5625
0	361	6084
0	400	6561
0	441	7056
0	484	7744
0	529	8281
0	529	9025
0	576	9801
0	576	10201
0	625	11025
0	676	11664
0	729	12544
0	784	13456
0	841	14161
0	900	14884
0	961	15625
0	961	16641
0	1024	17689
0	1024	18225
0	1089	19044
0	1156	19881
0	1225	20449
0	1296	21316
0	1369	21609
0	1444	22201
0	1521	22500
0	1600	22801
0	1600	22801
0	1600	22801
0	1681	23104
0	1764	23104
0	1849	23104
0	1936	23104
0	2025	23104
0	2116	23104
0	2209	23409
0	2304	23409
0	2304	23409
0	2304	23409
0	2401	23409
0	2500	23409
0	2601	23409
0	2704	23409
0	2809	23409
0	2916	23409
0	3025	23409
0	3136	23409
0	3136	23409
0	3249	23409
0	3364	23409
0	3481	23409
0	3600	23409
0	3721	23409
0	3969	23409
0	4225	23104
0	4489	22801
0	4761	22201
0	5041	22201
0	5476	21609
0	5929	20736
1	6241	20164
4	6724	19600
9	7225	18769
16	7744	17956
36	8281	17161
64	8836	16384
121	9409	15376
144	10000	14884
225	10609	13924
324	11236	13225
400	11664	12544
529	12544	11664
676	13225	11025
841	13689	10404
1024	14400	9801
1225	15376	9216
1444	16129	8464
1681	16641	8100
1936	17424	7396
2209	18225	6889
2401	19044	6400
2704	19881	5929
3136	20736	5329
3364	21609	4900
3721	22500	4489
4225	23409	3969
4489	24336	3721
4900	25281	3249
5476	26244	2916
5929	27225	2601
6241	28224	2304
6724	29241	2025
7225	30276	1681
7744	31329	1444
8281	32400	1225
8836	33489	961
9409	34225	784
10000	35344	625
10609	36864	441
11236	37636	324
11881	38809	225
12544	40000	144
13456	41616	81
14161	42436	49
14884	43681	25
15876	45369	9
16384	46225	9
17161	47524	4
17956	48841	4
18769	50176	0
19881	51529	0
20736	52900	0
21609	54289	0
22201	55225	0
23104	56644	1
24336	58081	1
24964	58564	1
25921	59536	1
26896	60516	1
27889	61009	1
28900	61504	1
29929	62001	1
30976	62001	1
32041	62500	1
33124	62500	1
34596	62500	1
35344	62500	1
36481	62500	1
37636	62500	1
38809	62500	1
40000	62500	1
41209	62500	1
42436	62500	1
43681	62500	1
45369	62500	1
46225	62500	1
47961	62500	1
49284	62500	1
50625	62500	1
51984	62500	1
53361	62500	1
54756	62500	1
55696	63001	1
57121	63001	1
58564	63001	1
59536	63001	1
60516	63001	1
61504	63001	1
62001	63001	1
62500	63001	1
63001	63001	1
63504	63001	1
64009	63001	1
64009	63001	1
64009	62500	1
64009	62500	1
64009	62500	1
64009	62500	1
64009	62500	1
64009	62500	1
64009	62500	1
64009	62500	1
64009	62001	1
64009	61504	1
64009	61009	1
64009	60516	1
64009	59536	1
64009	58081	1
64009	55696	1
64009	53824	1
64009	51529	1
64009	49284	1
64009	46656	1
64009	44100	1
64009	41209	1
64009	38809	1
64009	36100	1
64009	33856	1
64009	31329	1
64009	28900	1
64009	26569	1
64009	24336	1
64009	22201	1
64009	20449	1
64009	18496	1
64009	16641	1
64009	14884	1
64009	13456	1
64009	11881	1
64009	10404	1
64009	9025	1
64009	7744	1
64009	6561	1
64009	5625	1
64009	4624	1
64009	3721	1
64009	2916	1
64009	2304	1
64009	1681	1
64009	1225	1
64009	841	1
64009	529	1
64009	324	1
64009	196	1
64009	121	1
64009	64	1
64009	25	1
64009	16	1
64009	4	1
64009	4	1
64009	1	1
64009	1	1
64009	1	1
64009	1	1
64009	1	1
64009	1	0
64009	1	0
64009	1	0
64009	1	0
64009	1	0
64009	1	1
64009	1	1
64009	1	1
64009	1	1
64009	1	1
64009	1	4
64009	1	4
64009	1	4
64009	4	1
64009	1296	1225
64009	12100	12100
64009	33856	34596
65025	62500	64009
65025	65025	65025
