defect2[][0]	defect2[][1]	defect2[][2]
65025	0	0
0	4	81
0	9	144
0	16	196
0	16	256
0	25	324
0	36	441
0	49	576
0	49	729
0	64	961
0	64	1089
0	81	1369
0	100	1681
0	121	1936
0	144	2209
0	169	2500
0	196	2916
0	225	3364
0	225	3721
0	256	4225
0	256	4489
0	289	5041
0	324	5625
0	361	6084
0	400	6561
0	441	7056
0	484	7744
0	529	8281
0	529	9025
0	576	9801
0	576	10201
0	625	11025
0	676	11664
0	729	12544
0	784	13456
0	841	14161
0	900	14884
0	961	15625
0	961	16641
0	1024	17689
0	1024	18225
0	1089	19044
0	1156	19881
0	1225	20449
0	1296	21316
0	1369	21609
0	1444	22201
0	1521	22500
0	1600	22801
0	1600	22801
0	1600	22801
0	1681	23104
0	1764	23104
0	1849	23104
0	1936	23104
0	2025	23104
0	2116	23104
0	2209	23409
0	2304	23409
0	2304	23409
0	2304	23409
0	2401	23409
0	2500	23409
0	2601	23409
0	2704	23409
0	2809	23409
0	2916	23409
0	3025	23409
0	3136	23409
0	3136	23409
0	3249	23409
0	3364	23409
0	3481	23409
0	3600	23409
0	3721	23409
0	3969	23409
0	4225	23104
0	4489	22801
0	4761	22201
0	5041	22201
0	5476	21609
0	5929	20736
0	6241	20164
0	6724	19600
0	7225	18769
0	7744	17956
0	8281	17161
0	8836	16384
0	9409	15376
0	10000	14884
0	10609	13924
0	11236	13225
0	11664	12544
0	12544	11664
0	13225	11025
0	13689	10404
0	14400	9801
0	15376	9216
0	16129	8464
0	16641	8100
0	17424	7396
0	18225	6889
0	19044	6400
0	19881	5929
0	20736	5329
0	21609	4900
0	22500	4489
0	23409	3969
0	24336	3721
0	25281	3249
0	26244	2916
0	27225	2601
0	28224	2304
0	29241	2025
0	30276	1681
0	31329	1444
0	32400	1225
0	33489	961
0	34225	784
0	35344	625
0	36864	441
0	37636	324
0	38809	225
0	40000	144
0	41616	81
0	42436	49
0	43681	25
0	45369	9
0	46225	9
0	47524	4
0	48841	4
0	50176	0
0	51529	0
0	52900	0
0	54289	0
0	55225	0
0	56644	0
0	58081	0
0	58564	0
0	59536	0
0	60516	0
0	61009	0
0	61504	0
0	62001	0
0	62001	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	63001	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62500	0
0	62001	0
0	61504	0
0	61009	0
0	60516	0
0	59536	0
0	58081	0
0	55696	0
0	53824	0
0	51529	0
0	49284	0
0	46656	0
0	44100	0
0	41209	0
0	38809	0
0	36100	0
0	33856	0
0	31329	0
0	28900	0
0	26569	0
0	24336	0
0	22201	0
0	20449	0
0	18496	0
0	16641	0
0	14884	0
0	13456	0
0	11881	0
0	10404	0
0	9025	0
0	7744	0
0	6561	0
0	5625	0
0	4624	0
0	3721	0
0	2916	0
0	2304	0
0	1681	0
0	1225	0
0	841	0
0	529	0
0	324	0
0	196	0
0	121	0
0	64	0
0	25	0
0	16	0
0	9	0
0	4	0
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	625	625
0	65025	65025
