iceburg[][0]	iceburg[][1]	iceburg[][2]
0	0	16
0	0	36
0	0	100
0	0	225
0	0	361
1	1	529
9	9	676
16	16	961
16	25	1156
25	49	1444
36	64	1764
64	100	2116
100	121	2500
121	144	2916
144	144	3249
169	169	3721
225	225	4356
256	256	5041
289	289	5625
361	361	6400
441	441	6889
529	529	7396
576	576	8100
576	576	8649
576	625	9409
625	676	10404
676	729	11236
729	841	12100
841	961	12996
961	1089	14161
1024	1156	15129
1156	1225	16384
1225	1296	17161
1296	1296	18496
1296	1296	19600
1296	1369	20736
1369	1521	21904
1521	1764	22801
1764	1936	24025
1936	1936	24964
1936	1936	26244
1936	1936	27889
2116	2116	29241
2304	2304	30625
2601	2601	32400
2704	2704	33856
2704	2704	35344
2809	2809	36864
2809	2916	38416
2916	3136	40000
3025	3136	40804
3136	3136	42436
3136	3364	44100
3364	3721	45796
3600	3969	47524
3969	4096	49284
4096	4225	51076
4225	4356	53361
4356	4624	55696
4489	4761	57121
4761	5041	59049
5041	5184	61504
5184	5329	63504
5184	5625	64009
5329	5776	64516
5625	6084	65025
5929	6400	65025
6241	6561	65025
6400	6561	65025
6400	6561	65025
6561	6889	65025
6889	7056	65025
7056	7225	65025
7225	7225	65025
7225	7225	65025
7225	7396	65025
7225	7744	65025
7744	8281	65025
8281	8464	65025
8281	8464	65025
8464	8649	65025
8649	8649	65025
8649	9025	65025
8649	9409	65025
8836	9604	65025
9216	10000	65025
9604	10201	65025
10000	10201	65025
10201	10609	65025
10201	10609	65025
10404	11025	65025
10609	11449	65025
11025	11664	65025
11449	11881	65025
11664	11881	65025
11881	12321	65025
12321	12996	65025
12544	13456	65025
12996	13689	65025
13225	13689	65025
13456	13924	65025
13689	14400	65025
13924	14884	65025
14161	15376	65025
14641	15876	65025
15129	16384	65025
15876	16641	65025
16384	16641	65025
16384	16641	65025
16641	16641	65025
16641	16900	65025
16641	17424	65025
16900	17956	65025
17161	18496	65025
17689	19044	65025
18225	19600	65025
18769	19881	65025
19321	20164	65025
19321	20164	65025
19600	20164	65025
19881	20164	65025
20164	20736	65025
20164	21316	65025
20449	21609	65025
21025	22201	65025
21609	22801	65025
22201	23409	65025
22801	23409	65025
23104	23409	65025
23409	23716	65025
23409	24336	65025
23716	24649	65025
24336	24964	65025
24649	25281	65025
24649	25921	65025
24964	26244	65025
25281	26244	65025
25921	27225	65025
25921	27889	65025
26244	28224	65025
26896	28561	65025
27556	28900	65025
28224	29584	65025
28561	29929	65025
28900	30276	65025
29241	30276	65025
29929	30276	65025
30276	30276	65025
30276	30625	65025
30276	31329	65025
30276	32400	65025
30976	33124	65025
31684	33856	65025
32041	34225	65025
32761	34969	65025
33489	35721	65025
34225	36100	65025
34596	36100	65025
35344	36100	65025
35721	36100	65025
36100	36481	65025
36100	36864	65025
36100	37249	65025
36100	38025	65025
36864	38809	65025
37249	39601	65025
38025	40401	65025
38416	40401	65025
39204	41209	65025
40000	41616	65025
40401	42025	65025
40804	42436	65025
41209	42849	65025
41616	43264	65025
42025	43681	65025
42436	44100	65025
43264	44521	65025
43264	44944	65025
43681	46225	65025
44100	47089	65025
44944	47524	65025
45796	47961	65025
46656	48400	65025
47524	49284	65025
47961	49284	65025
48400	49284	65025
49284	49729	65025
49284	49729	65025
49284	50625	65025
49284	51529	65025
49729	52441	65025
49729	53361	65025
50176	53824	65025
51076	54756	65025
51984	55696	65025
52900	56644	65025
53824	56644	65025
54289	56644	65025
55225	57121	65025
56169	57121	65025
56644	57121	65025
56644	58081	65025
57121	59536	65025
57121	60516	65025
57600	61504	65025
58564	62500	65025
59049	62500	65025
60025	63001	65025
61009	64009	65025
62001	64516	65025
62500	64516	65025
63001	64516	65025
64009	64516	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
