logGrayWhite[][0]	logGrayWhite[][1]	logGrayWhite[][2]
65025	65025	65025
64979	64979	64979
64933	64933	64933
64887	64887	64887
64840	64840	64840
64794	64794	64794
64747	64747	64747
64700	64700	64700
64653	64653	64653
64605	64605	64605
64558	64558	64558
64510	64510	64510
64462	64462	64462
64414	64414	64414
64366	64366	64366
64317	64317	64317
64268	64268	64268
64219	64219	64219
64170	64170	64170
64121	64121	64121
64071	64071	64071
64021	64021	64021
63971	63971	63971
63921	63921	63921
63871	63871	63871
63820	63820	63820
63769	63769	63769
63718	63718	63718
63667	63667	63667
63615	63615	63615
63563	63563	63563
63511	63511	63511
63459	63459	63459
63407	63407	63407
63354	63354	63354
63301	63301	63301
63248	63248	63248
63194	63194	63194
63141	63141	63141
63087	63087	63087
63033	63033	63033
62978	62978	62978
62924	62924	62924
62869	62869	62869
62814	62814	62814
62758	62758	62758
62702	62702	62702
62646	62646	62646
62590	62590	62590
62534	62534	62534
62477	62477	62477
62420	62420	62420
62362	62362	62362
62305	62305	62305
62247	62247	62247
62189	62189	62189
62130	62130	62130
62071	62071	62071
62012	62012	62012
61953	61953	61953
61893	61893	61893
61833	61833	61833
61773	61773	61773
61712	61712	61712
61652	61652	61652
61590	61590	61590
61529	61529	61529
61467	61467	61467
61405	61405	61405
61342	61342	61342
61279	61279	61279
61216	61216	61216
61152	61152	61152
61089	61089	61089
61024	61024	61024
60960	60960	60960
60895	60895	60895
60829	60829	60829
60764	60764	60764
60698	60698	60698
60631	60631	60631
60564	60564	60564
60497	60497	60497
60430	60430	60430
60362	60362	60362
60293	60293	60293
60224	60224	60224
60155	60155	60155
60086	60086	60086
60016	60016	60016
59945	59945	59945
59874	59874	59874
59803	59803	59803
59731	59731	59731
59659	59659	59659
59587	59587	59587
59514	59514	59514
59440	59440	59440
59366	59366	59366
59292	59292	59292
59217	59217	59217
59141	59141	59141
59065	59065	59065
58989	58989	58989
58912	58912	58912
58835	58835	58835
58757	58757	58757
58678	58678	58678
58599	58599	58599
58520	58520	58520
58440	58440	58440
58359	58359	58359
58278	58278	58278
58196	58196	58196
58114	58114	58114
58031	58031	58031
57948	57948	57948
57864	57864	57864
57779	57779	57779
57694	57694	57694
57608	57608	57608
57521	57521	57521
57434	57434	57434
57346	57346	57346
57258	57258	57258
57169	57169	57169
57079	57079	57079
56988	56988	56988
56897	56897	56897
56805	56805	56805
56712	56712	56712
56619	56619	56619
56525	56525	56525
56430	56430	56430
56334	56334	56334
56237	56237	56237
56140	56140	56140
56042	56042	56042
55943	55943	55943
55843	55843	55843
55743	55743	55743
55641	55641	55641
55539	55539	55539
55435	55435	55435
55331	55331	55331
55226	55226	55226
55120	55120	55120
55013	55013	55013
54905	54905	54905
54795	54795	54795
54685	54685	54685
54574	54574	54574
54462	54462	54462
54349	54349	54349
54234	54234	54234
54119	54119	54119
54002	54002	54002
53884	53884	53884
53765	53765	53765
53645	53645	53645
53523	53523	53523
53401	53401	53401
53277	53277	53277
53151	53151	53151
53024	53024	53024
52896	52896	52896
52767	52767	52767
52636	52636	52636
52503	52503	52503
52369	52369	52369
52233	52233	52233
52096	52096	52096
51958	51958	51958
51817	51817	51817
51675	51675	51675
51531	51531	51531
51385	51385	51385
51238	51238	51238
51089	51089	51089
50937	50937	50937
50784	50784	50784
50629	50629	50629
50471	50471	50471
50312	50312	50312
50150	50150	50150
49986	49986	49986
49820	49820	49820
49651	49651	49651
49480	49480	49480
49306	49306	49306
49130	49130	49130
48951	48951	48951
48769	48769	48769
48584	48584	48584
48396	48396	48396
48206	48206	48206
48012	48012	48012
47815	47815	47815
47614	47614	47614
47410	47410	47410
47203	47203	47203
46992	46992	46992
46776	46776	46776
46557	46557	46557
46334	46334	46334
46106	46106	46106
45874	45874	45874
45637	45637	45637
45395	45395	45395
45148	45148	45148
44896	44896	44896
44638	44638	44638
44375	44375	44375
44105	44105	44105
43829	43829	43829
43547	43547	43547
43257	43257	43257
42960	42960	42960
42656	42656	42656
42343	42343	42343
42022	42022	42022
41691	41691	41691
41352	41352	41352
41001	41001	41001
40641	40641	40641
40268	40268	40268
39884	39884	39884
39486	39486	39486
39075	39075	39075
38648	38648	38648
38206	38206	38206
37746	37746	37746
37267	37267	37267
36768	36768	36768
36247	36247	36247
35701	35701	35701
35129	35129	35129
34528	34528	34528
33894	33894	33894
33223	33223	33223
32512	32512	32512
31756	31756	31756
30947	30947	30947
30078	30078	30078
29139	29139	29139
28119	28119	28119
27001	27001	27001
25766	25766	25766
24384	24384	24384
22819	22819	22819
21011	21011	21011
18873	18873	18873
16256	16256	16256
12883	12883	12883
8128	8128	8128
0	0	0
