sailing[][0]	sailing[][1]	sailing[][2]
0	0	16
0	0	49
0	0	121
0	0	196
0	0	256
0	1	361
0	9	529
0	16	784
0	16	961
0	16	1225
0	16	1444
0	16	1764
0	16	2025
0	36	2304
0	49	2704
0	64	3025
0	81	3481
0	121	4096
0	144	4489
0	144	5041
0	144	5476
0	144	6084
0	144	6561
0	169	6889
0	196	7569
0	225	8281
0	256	9025
0	256	9801
0	256	10404
0	256	11025
0	256	11664
0	289	12544
0	324	13456
0	361	14641
0	441	15625
0	484	16384
0	529	17161
0	576	17956
0	576	19044
0	576	20164
0	576	21025
0	625	22201
0	676	23104
0	729	24336
0	784	25600
0	784	26569
0	900	27889
0	961	28900
0	1024	30276
0	1024	31684
0	1024	32761
0	1024	34225
0	1089	35344
0	1156	36864
0	1225	38025
0	1296	39601
0	1296	41209
0	1296	42436
0	1296	44100
0	1296	45796
0	1369	47524
0	1444	49284
0	1521	50625
0	1681	52441
0	1764	53824
0	1849	55696
0	1936	57121
0	1936	58564
0	1936	60025
0	1936	62001
1	2025	62500
16	2116	62001
36	2401	60516
100	2704	59049
169	2916	57600
256	3249	56169
361	3600	54289
484	3969	52900
729	4356	51076
900	4624	49729
1156	5184	47961
1369	5625	46656
1681	6084	44521
1936	6561	42849
2209	6889	41616
2601	7396	40000
2916	7921	38809
3364	8649	37249
3969	9409	35721
4356	9801	34596
4900	10201	33124
5329	10816	32041
5929	11449	30625
6400	12100	29241
6889	12769	28224
7396	13456	26896
8100	14161	25921
8836	14884	24649
9801	15876	23409
10201	16384	22500
10816	17161	21316
11449	17956	20449
12321	18496	19321
13225	19321	18496
14161	20449	17424
15376	21609	16641
16129	22500	15876
16900	23104	14641
17689	23716	13924
18769	24649	12769
19881	25921	11881
20736	26896	11236
21904	27889	10609
22801	28561	10000
24025	29584	9409
25281	30625	8464
26244	31684	7744
27556	32761	7056
28561	33489	6724
29929	34969	6241
31329	36100	5625
32400	37249	5184
33856	38416	4624
34969	39601	4225
36481	40401	3721
38025	41616	3136
39204	42849	2809
40804	44521	2401
42025	45796	2116
43681	47089	1849
45369	48400	1600
47089	49284	1296
48841	50625	1024
50176	51984	784
51984	53824	576
53361	55225	441
55225	56169	289
57121	57600	196
58081	58564	144
59536	60516	64
61504	62001	25
63001	63504	9
64009	64009	16
64516	64516	36
65025	65025	81
65025	65025	144
65025	65025	225
65025	65025	324
65025	65025	441
65025	65025	676
65025	65025	841
65025	65025	1089
65025	65025	1369
65025	65025	1600
65025	65025	1849
65025	65025	2116
65025	65025	2500
65025	65025	2809
65025	65025	3249
65025	65025	3721
65025	65025	4225
65025	65025	4761
65025	65025	5184
65025	65025	5776
65025	65025	6241
65025	65025	6724
65025	65025	7225
65025	65025	7744
65025	65025	8649
65025	65025	9409
65025	65025	10000
65025	65025	10609
65025	65025	11236
65025	65025	12100
65025	65025	12996
65025	65025	13924
65025	65025	15129
65025	65025	15876
65025	65025	16641
65025	65025	17424
65025	65025	18496
65025	65025	19600
65025	65025	20449
65025	65025	21609
65025	65025	22500
65025	65025	23716
65025	65025	24964
65025	65025	25921
65025	65025	27225
65025	65025	28224
65025	65025	29584
65025	65025	30976
65025	65025	32041
65025	65025	33489
65025	65025	34596
65025	65025	36100
65025	65025	37636
65025	65025	38809
65025	65025	40401
65025	65025	41616
65025	65025	43264
65025	65025	44944
65025	65025	46656
65025	65025	48400
65025	65025	49729
65025	65025	51529
65025	65025	52900
65025	65025	54756
65025	65025	56644
65025	65025	58081
65025	65025	59049
65025	65025	61009
65025	65025	63001
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
65025	65025	65025
